time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.28,0.88,-0.05,0.22,0.17,0.24,-0.05,0.19,0.05,976.61
0.005,-0.28,0.88,-0.05,0.22,0.17,0.24,0.04,0.05,0.00,976.61
0.007,-0.28,0.88,-0.05,0.22,0.16,0.25,0.04,0.05,0.00,976.61
0.013,-0.16,1.04,0.07,0.22,0.16,0.25,0.04,0.05,0.00,976.61
0.033,-0.23,1.02,0.05,0.22,0.16,0.25,0.04,0.05,0.00,976.61
0.034,-0.23,1.02,0.05,0.22,0.16,0.25,0.13,-0.16,0.12,976.61
0.035,-0.23,1.02,0.05,-0.44,-0.16,0.41,0.13,-0.16,0.12,976.61
0.041,-0.23,1.02,0.05,-0.44,-0.16,0.41,0.13,-0.16,0.12,976.61
0.053,-0.17,0.95,-0.03,-0.44,-0.16,0.41,0.13,-0.16,0.12,976.61
0.072,-0.17,0.97,-0.09,-0.44,-0.16,0.41,0.13,-0.16,0.12,976.61
0.073,-0.17,0.97,-0.09,-0.44,-0.16,0.41,0.25,-0.10,0.19,976.61
0.074,-0.17,0.97,-0.09,-0.08,-0.02,0.24,0.25,-0.10,0.19,976.61
0.092,-0.18,1.04,-0.11,-0.08,-0.02,0.24,0.25,-0.10,0.19,976.61
0.104,-0.18,1.04,-0.11,-0.08,-0.02,0.24,0.25,-0.10,0.19,976.61
0.113,-0.14,1.00,-0.13,-0.08,-0.02,0.24,0.25,-0.10,0.19,976.61
0.114,-0.14,1.00,-0.13,-0.08,-0.02,0.24,0.22,0.00,0.15,976.61
0.115,-0.14,1.00,-0.13,-0.14,-0.02,0.32,0.22,0.00,0.15,976.61
0.133,-0.10,0.97,-0.12,-0.14,-0.02,0.32,0.22,0.00,0.15,976.61
0.154,-0.11,0.98,-0.10,-0.14,-0.02,0.32,0.22,0.00,0.15,976.61
0.156,-0.11,0.98,-0.10,-0.14,-0.02,0.32,0.14,0.05,0.10,976.61
0.157,-0.11,0.98,-0.10,0.30,0.21,-0.55,0.14,0.05,0.10,976.61
0.162,-0.11,0.98,-0.10,0.30,0.21,-0.55,0.14,0.05,0.10,976.62
0.181,-0.13,0.99,-0.11,0.30,0.21,-0.55,0.14,0.05,0.10,976.62
0.191,-0.18,1.02,-0.09,0.30,0.21,-0.55,0.14,0.05,0.10,976.62
0.192,-0.18,1.02,-0.09,0.30,0.21,-0.55,0.08,0.35,0.01,976.62
0.193,-0.18,1.02,-0.09,0.31,0.14,-0.28,0.08,0.35,0.01,976.62
0.212,-0.22,1.02,-0.07,0.31,0.14,-0.28,0.08,0.35,0.01,976.62
0.23,-0.22,1.02,-0.07,0.31,0.14,-0.28,0.08,0.35,0.01,976.63
0.231,-0.18,0.97,-0.06,0.31,0.14,-0.28,0.08,0.35,0.01,976.63
0.232,-0.18,0.97,-0.06,0.31,0.14,-0.28,0.01,0.39,-0.02,976.63
0.233,-0.18,0.97,-0.06,0.30,0.14,-0.24,0.01,0.39,-0.02,976.63
0.251,-0.12,0.97,-0.05,0.30,0.14,-0.24,0.01,0.39,-0.02,976.63
0.28,-0.14,1.00,-0.06,0.30,0.14,-0.24,0.01,0.39,-0.02,976.63
0.281,-0.14,1.00,-0.06,0.30,0.14,-0.24,0.02,0.25,0.01,976.63
0.282,-0.14,1.00,-0.06,-0.05,0.04,0.12,0.02,0.25,0.01,976.63
0.282,-0.14,1.00,-0.06,-0.05,0.04,0.12,0.02,0.25,0.01,976.63
0.29,-0.15,1.01,-0.10,-0.05,0.04,0.12,0.02,0.25,0.01,976.63
0.311,-0.16,0.99,-0.10,-0.05,0.04,0.12,0.02,0.25,0.01,976.63
0.313,-0.16,0.99,-0.10,-0.05,0.04,0.12,0.06,0.38,-0.04,976.63
0.315,-0.16,0.99,-0.10,0.18,0.19,-0.02,0.06,0.38,-0.04,976.63
0.336,-0.23,0.97,-0.07,0.18,0.19,-0.02,0.06,0.38,-0.04,976.63
0.358,-0.23,0.97,-0.07,0.18,0.19,-0.02,0.06,0.38,-0.04,976.63
0.359,-0.22,1.00,-0.08,0.18,0.19,-0.02,0.06,0.38,-0.04,976.63
0.36,-0.22,1.00,-0.08,0.18,0.19,0.02,0.06,0.38,-0.04,976.63
0.361,-0.22,1.00,-0.08,0.18,0.19,0.02,0.04,0.36,-0.06,976.63
0.37,-0.11,1.00,-0.13,0.18,0.19,0.02,0.04,0.36,-0.06,976.63
0.391,-0.11,1.00,-0.13,-0.16,0.08,-0.05,0.04,0.36,-0.06,976.63
0.392,-0.15,1.00,-0.08,-0.16,0.08,-0.05,0.04,0.36,-0.06,976.63
0.393,-0.15,1.00,-0.08,-0.16,0.08,-0.05,0.02,0.19,-0.03,976.63
0.401,-0.15,1.00,-0.08,-0.16,0.08,-0.05,0.02,0.19,-0.03,976.63
0.408,-0.24,0.98,-0.10,-0.16,0.08,-0.05,0.02,0.19,-0.03,976.63
0.44,-0.25,1.00,-0.13,-0.16,0.08,-0.05,0.02,0.19,-0.03,976.63
0.441,-0.25,1.00,-0.13,-0.16,0.08,-0.05,0.01,0.29,-0.03,976.63
0.442,-0.25,1.00,-0.13,-0.38,0.08,-0.14,0.01,0.29,-0.03,976.63
0.469,-0.19,1.01,-0.14,-0.38,0.08,-0.14,0.01,0.29,-0.03,976.63
0.472,-0.19,1.01,-0.14,-0.38,0.08,-0.14,0.01,0.29,-0.03,976.63
0.473,-0.16,0.98,-0.16,-0.38,0.08,-0.14,0.01,0.29,-0.03,976.63
0.474,-0.16,0.98,-0.16,-0.38,0.08,-0.14,-0.06,0.23,0.02,976.63
0.475,-0.16,0.98,-0.16,-0.39,0.07,-0.14,-0.06,0.23,0.02,976.63
0.488,-0.16,1.00,-0.16,-0.39,0.07,-0.14,-0.06,0.23,0.02,976.63
0.508,-0.17,1.00,-0.16,-0.39,0.07,-0.14,-0.06,0.23,0.02,976.63
