time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,-0.08,1.02,-0.03,-0.28,-0.02,-0.02,0.08,-0.27,0.00,976.25
0.003,-0.08,1.01,0.02,-0.28,-0.02,-0.02,0.08,-0.27,0.00,976.25
0.018,-0.19,1.00,-0.00,-0.28,-0.02,-0.02,0.08,-0.27,0.00,976.25
0.019,-0.19,1.00,-0.00,-0.28,-0.02,-0.02,0.05,-0.19,0.02,976.25
0.02,-0.19,1.00,-0.00,-0.29,-0.02,-0.01,0.05,-0.19,0.02,976.25
0.038,-0.15,1.00,0.01,-0.29,-0.02,-0.01,0.05,-0.19,0.02,976.25
0.052,-0.15,1.00,0.01,-0.29,-0.02,-0.01,0.05,-0.19,0.02,976.25
0.058,-0.16,0.99,0.02,-0.29,-0.02,-0.01,0.05,-0.19,0.02,976.25
0.059,-0.16,0.99,0.02,-0.29,-0.02,-0.01,-0.01,0.10,-0.01,976.25
0.06,-0.16,0.99,0.02,0.09,0.03,-0.02,-0.01,0.10,-0.01,976.25
0.078,-0.17,0.99,0.01,0.09,0.03,-0.02,-0.01,0.10,-0.01,976.25
0.099,-0.15,1.00,0.01,0.09,0.03,-0.02,-0.01,0.10,-0.01,976.25
0.1,-0.15,1.00,0.01,0.09,0.03,-0.02,0.02,0.01,0.01,976.25
0.101,-0.15,1.00,0.01,-0.09,-0.04,0.05,0.02,0.01,0.01,976.25
0.113,-0.15,1.00,0.01,-0.09,-0.04,0.05,0.02,0.01,0.01,976.26
0.118,-0.15,0.99,0.01,-0.09,-0.04,0.05,0.02,0.01,0.01,976.26
0.138,-0.15,0.98,0.01,-0.09,-0.04,0.05,0.02,0.01,0.01,976.26
0.138,-0.15,0.98,0.01,-0.09,-0.04,0.05,0.03,0.01,0.03,976.26
0.139,-0.15,0.98,0.01,-0.10,-0.04,0.06,0.03,0.01,0.03,976.26
0.158,-0.15,0.99,0.02,-0.10,-0.04,0.06,0.03,0.01,0.03,976.26
0.174,-0.15,0.99,0.02,-0.10,-0.04,0.06,0.03,0.01,0.03,976.25
0.177,-0.17,0.99,0.03,-0.10,-0.04,0.06,0.03,0.01,0.03,976.25
0.178,-0.17,0.99,0.03,-0.10,-0.04,0.06,0.05,0.05,0.05,976.25
0.179,-0.17,0.99,0.03,-0.02,-0.08,0.08,0.05,0.05,0.05,976.25
0.199,-0.18,0.99,0.03,-0.02,-0.08,0.08,0.05,0.05,0.05,976.25
0.227,-0.16,0.99,0.03,-0.02,-0.08,0.08,0.05,0.05,0.05,976.25
0.228,-0.16,0.99,0.03,-0.02,-0.08,0.08,0.09,-0.01,0.08,976.25
0.229,-0.16,0.99,0.03,-0.25,-0.08,0.24,0.09,-0.01,0.08,976.25
0.243,-0.16,0.99,0.03,-0.25,-0.08,0.24,0.09,-0.01,0.08,976.24
0.245,-0.15,0.99,0.02,-0.25,-0.08,0.24,0.09,-0.01,0.08,976.24
0.259,-0.15,0.98,0.02,-0.25,-0.08,0.24,0.09,-0.01,0.08,976.24
0.26,-0.15,0.98,0.02,-0.25,-0.08,0.24,0.16,-0.11,0.12,976.24
0.26,-0.15,0.98,0.02,-0.29,-0.09,0.29,0.16,-0.11,0.12,976.24
0.283,-0.17,0.99,0.00,-0.29,-0.09,0.29,0.16,-0.11,0.12,976.24
0.293,-0.17,0.99,0.00,-0.29,-0.09,0.29,0.16,-0.11,0.12,976.24
0.296,-0.15,0.99,-0.01,-0.29,-0.09,0.29,0.16,-0.11,0.12,976.24
0.297,-0.15,0.99,-0.01,-0.29,-0.09,0.29,0.21,-0.18,0.14,976.24
0.298,-0.15,0.99,-0.01,-0.18,-0.10,0.20,0.21,-0.18,0.14,976.24
0.323,-0.11,0.99,-0.02,-0.18,-0.10,0.20,0.21,-0.18,0.14,976.24
0.335,-0.09,1.00,-0.02,-0.18,-0.10,0.20,0.21,-0.18,0.14,976.24
0.337,-0.09,1.00,-0.02,-0.18,-0.10,0.20,0.25,-0.27,0.15,976.24
0.338,-0.09,1.00,-0.02,0.14,-0.03,-0.03,0.25,-0.27,0.15,976.24
0.353,-0.09,1.00,-0.02,0.14,-0.03,-0.03,0.25,-0.27,0.15,976.26
0.356,-0.10,1.01,-0.03,0.14,-0.03,-0.03,0.25,-0.27,0.15,976.26
0.384,-0.11,1.00,-0.04,0.14,-0.03,-0.03,0.25,-0.27,0.15,976.26
0.385,-0.11,1.00,-0.04,0.14,-0.03,-0.03,0.25,-0.19,0.12,976.26
0.385,-0.11,1.00,-0.04,0.09,-0.03,0.06,0.25,-0.19,0.12,976.26
0.395,-0.11,0.99,-0.02,0.09,-0.03,0.06,0.25,-0.19,0.12,976.26
0.413,-0.11,0.99,-0.02,0.09,-0.03,0.06,0.25,-0.19,0.12,976.27
0.416,-0.11,1.00,-0.01,0.09,-0.03,0.06,0.25,-0.19,0.12,976.27
0.417,-0.11,1.00,-0.01,0.09,-0.03,0.06,0.24,-0.07,0.08,976.27
0.417,-0.11,1.00,-0.01,0.18,0.02,0.03,0.24,-0.07,0.08,976.27
0.434,-0.14,1.00,-0.02,0.18,0.02,0.03,0.24,-0.07,0.08,976.27
0.454,-0.15,0.98,-0.03,0.18,0.02,0.03,0.24,-0.07,0.08,976.27
0.456,-0.15,0.98,-0.03,0.18,0.02,0.03,0.28,-0.03,0.08,976.27
0.457,-0.15,0.98,-0.03,-0.13,-0.02,0.22,0.28,-0.03,0.08,976.27
0.476,-0.15,0.98,-0.03,-0.13,-0.02,0.22,0.28,-0.03,0.08,976.27
0.48,-0.11,0.98,-0.02,-0.13,-0.02,0.22,0.28,-0.03,0.08,976.27
0.518,-0.08,0.99,-0.03,-0.13,-0.02,0.22,0.28,-0.03,0.08,976.27
0.519,-0.08,0.99,-0.03,-0.13,-0.02,0.22,0.36,-0.14,0.09,976.27
0.52,-0.08,0.99,-0.03,-0.16,-0.02,0.34,0.36,-0.14,0.09,976.27
0.521,-0.10,0.99,-0.04,-0.16,-0.02,0.34,0.36,-0.14,0.09,976.27
0.538,-0.10,0.99,-0.04,-0.16,-0.02,0.34,0.36,-0.14,0.09,976.27
0.539,-0.09,0.99,-0.04,-0.16,-0.02,0.34,0.36,-0.14,0.09,976.27
0.54,-0.09,0.99,-0.04,-0.16,-0.02,0.34,0.43,-0.18,0.08,976.27
0.541,-0.09,0.99,-0.04,0.18,-0.08,0.36,0.43,-0.18,0.08,976.27
0.552,-0.09,1.00,-0.03,0.18,-0.08,0.36,0.43,-0.18,0.08,976.27
0.572,-0.08,0.99,-0.06,0.18,-0.08,0.36,0.43,-0.18,0.08,976.27
