time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.05,0.98,0.13,-0.43,-0.05,-0.00,-0.01,-0.04,0.04,976.73
0.004,0.05,0.98,0.13,-0.43,-0.05,-0.00,0.05,-0.19,0.11,976.73
0.004,0.05,0.98,0.13,-0.48,-0.05,0.01,0.05,-0.19,0.11,976.73
0.011,-0.01,1.00,0.15,-0.48,-0.05,0.01,0.05,-0.19,0.11,976.73
0.028,-0.01,1.00,0.15,-0.48,-0.05,0.01,0.05,-0.19,0.11,976.74
0.032,-0.05,0.96,0.14,-0.48,-0.05,0.01,0.05,-0.19,0.11,976.74
0.033,-0.05,0.96,0.14,-0.48,-0.05,0.01,-0.02,0.17,-0.15,976.74
0.034,-0.05,0.96,0.14,1.35,-0.07,-0.14,-0.02,0.17,-0.15,976.74
0.051,-0.30,0.98,0.12,1.35,-0.07,-0.14,-0.02,0.17,-0.15,976.74
0.07,-0.35,1.00,0.14,1.35,-0.07,-0.14,-0.02,0.17,-0.15,976.74
0.071,-0.35,1.00,0.14,1.35,-0.07,-0.14,-0.08,0.45,-0.31,976.74
0.073,-0.35,1.00,0.14,-1.01,-0.09,-0.18,-0.08,0.45,-0.31,976.74
0.088,-0.35,1.00,0.14,-1.01,-0.09,-0.18,-0.08,0.45,-0.31,976.73
0.09,-0.10,0.96,0.13,-1.01,-0.09,-0.18,-0.08,0.45,-0.31,976.73
0.112,-0.10,0.96,0.13,-1.00,-0.09,-0.19,-0.08,0.45,-0.31,976.73
0.115,-0.02,1.00,0.19,-1.00,-0.09,-0.19,-0.08,0.45,-0.31,976.73
0.116,-0.02,1.00,0.19,-1.00,-0.09,-0.19,-0.03,-0.00,0.02,976.73
0.13,-0.12,0.99,0.15,-1.00,-0.09,-0.19,-0.03,-0.00,0.02,976.73
0.158,-0.12,0.99,0.15,-1.00,-0.09,-0.19,-0.03,-0.00,0.02,976.74
0.159,-0.18,0.97,0.14,-1.00,-0.09,-0.19,-0.03,-0.00,0.02,976.74
0.16,-0.18,0.97,0.14,-1.00,-0.09,-0.19,-0.01,-0.03,0.01,976.74
0.161,-0.18,0.97,0.14,0.49,-0.08,0.05,-0.01,-0.03,0.01,976.74
0.17,-0.14,0.98,0.15,0.49,-0.08,0.05,-0.01,-0.03,0.01,976.74
0.189,-0.12,0.99,0.15,0.49,-0.08,0.05,-0.01,-0.03,0.01,976.74
0.19,-0.12,0.99,0.15,0.49,-0.08,0.05,-0.01,0.06,-0.03,976.74
0.19,-0.12,0.99,0.15,-0.16,-0.09,-0.06,-0.01,0.06,-0.03,976.74
0.208,-0.12,0.99,0.15,-0.16,-0.09,-0.06,-0.01,0.06,-0.03,976.74
0.209,-0.12,1.00,0.16,-0.16,-0.09,-0.06,-0.01,0.06,-0.03,976.74
0.23,-0.11,1.00,0.16,-0.16,-0.09,-0.06,-0.01,0.06,-0.03,976.74
0.233,-0.11,1.00,0.16,-0.16,-0.09,-0.06,0.01,0.00,0.00,976.74
0.235,-0.11,1.00,0.16,-0.16,-0.09,-0.06,0.01,0.00,0.00,976.74
0.261,-0.12,1.00,0.16,-0.16,-0.09,-0.06,0.01,0.00,0.00,976.74
0.269,-0.12,1.00,0.16,-0.16,-0.09,-0.06,0.01,0.00,0.00,976.73
0.27,-0.14,1.00,0.15,-0.16,-0.09,-0.06,0.01,0.00,0.00,976.73
0.27,-0.14,1.00,0.15,-0.16,-0.09,-0.06,0.04,0.07,-0.01,976.73
0.271,-0.14,1.00,0.15,0.13,0.06,0.09,0.04,0.07,-0.01,976.73
0.288,-0.13,1.01,0.17,0.13,0.06,0.09,0.04,0.07,-0.01,976.73
0.309,-0.10,1.02,0.15,0.13,0.06,0.09,0.04,0.07,-0.01,976.73
0.31,-0.10,1.02,0.15,0.13,0.06,0.09,0.09,0.11,-0.00,976.73
0.311,-0.10,1.02,0.15,0.07,0.17,0.09,0.09,0.11,-0.00,976.73
0.336,-0.10,1.02,0.15,0.07,0.17,0.09,0.09,0.11,-0.00,976.73
0.339,-0.11,1.02,0.12,0.07,0.17,0.09,0.09,0.11,-0.00,976.73
0.365,-0.10,0.98,0.10,0.07,0.17,0.09,0.09,0.11,-0.00,976.73
0.367,-0.10,0.98,0.10,0.07,0.17,0.09,0.19,0.23,0.02,976.73
0.368,-0.10,0.98,0.10,0.07,0.15,0.17,0.19,0.23,0.02,976.73
0.379,-0.04,0.99,0.08,0.07,0.15,0.17,0.19,0.23,0.02,976.73
0.39,-0.06,1.00,0.03,0.07,0.15,0.17,0.19,0.23,0.02,976.73
0.393,-0.06,1.00,0.03,0.07,0.15,0.17,0.41,0.99,0.04,976.73
0.395,-0.06,1.00,0.03,0.51,0.00,-0.18,0.41,0.99,0.04,976.73
0.396,-0.06,1.00,0.03,0.51,0.00,-0.18,0.41,0.99,0.04,976.74
0.406,-0.04,0.99,-0.08,0.51,0.00,-0.18,0.41,0.99,0.04,976.74
0.428,0.04,0.96,-0.15,0.51,0.00,-0.18,0.41,0.99,0.04,976.74
0.429,0.04,0.96,-0.15,0.51,0.00,-0.18,0.73,2.28,-0.05,976.74
0.43,0.04,0.96,-0.15,1.22,-0.12,-1.35,0.73,2.28,-0.05,976.74
0.456,0.05,0.96,-0.10,1.22,-0.12,-1.35,0.73,2.28,-0.05,976.74
0.458,0.05,0.96,-0.10,1.22,-0.12,-1.35,0.73,2.28,-0.05,976.75
0.466,0.08,0.95,-0.23,1.22,-0.12,-1.35,0.73,2.28,-0.05,976.75
0.467,0.08,0.95,-0.23,1.22,-0.12,-1.35,1.02,3.40,-0.15,976.75
0.468,0.08,0.95,-0.23,1.32,-0.12,-0.74,1.02,3.40,-0.15,976.75
0.486,0.20,0.89,-0.37,1.32,-0.12,-0.74,1.02,3.40,-0.15,976.75
0.512,0.36,0.90,-0.45,1.32,-0.12,-0.74,1.02,3.40,-0.15,976.75
0.513,0.36,0.90,-0.45,1.32,-0.12,-0.74,1.41,4.35,-0.08,976.75
0.514,0.36,0.90,-0.45,2.53,-0.62,-1.59,1.41,4.35,-0.08,976.75
0.515,0.36,0.90,-0.45,2.53,-0.62,-1.59,1.41,4.35,-0.08,976.75
0.525,0.33,0.97,-0.38,2.53,-0.62,-1.59,1.41,4.35,-0.08,976.75
0.551,0.04,0.98,-0.27,2.53,-0.62,-1.59,1.41,4.35,-0.08,976.75
0.554,0.04,0.98,-0.27,2.53,-0.62,-1.59,1.60,5.69,0.06,976.75
0.555,0.04,0.98,-0.27,3.47,-0.33,-1.96,1.60,5.69,0.06,976.75
0.578,-0.27,0.96,-0.24,3.47,-0.33,-1.96,1.60,5.69,0.06,976.75
0.58,-0.27,0.96,-0.24,3.47,-0.33,-1.96,1.60,5.69,0.06,976.74
0.586,-0.43,0.95,-0.33,3.47,-0.33,-1.96,1.60,5.69,0.06,976.74
0.588,-0.43,0.95,-0.33,3.47,-0.33,-1.96,1.26,5.48,0.24,976.74
0.59,-0.43,0.95,-0.33,2.90,-0.24,-1.27,1.26,5.48,0.24,976.74
0.605,-0.54,0.90,-0.29,2.90,-0.24,-1.27,1.26,5.48,0.24,976.74
0.624,-0.25,0.93,-0.33,2.90,-0.24,-1.27,1.26,5.48,0.24,976.74
0.625,-0.25,0.93,-0.33,2.90,-0.24,-1.27,0.98,2.87,0.68,976.74
0.626,-0.25,0.93,-0.33,-4.03,-0.28,-0.05,0.98,2.87,0.68,976.74
0.627,-0.25,0.93,-0.33,-4.03,-0.28,-0.05,0.98,2.87,0.68,976.73
0.669,0.08,0.98,-0.28,-4.03,-0.28,-0.05,0.98,2.87,0.68,976.73
0.672,0.20,0.95,-0.29,-4.03,-0.28,-0.05,0.98,2.87,0.68,976.73
0.673,0.20,0.95,-0.29,-4.03,-0.28,-0.05,0.87,1.34,0.92,976.73
0.675,0.20,0.95,-0.29,-0.36,-0.04,0.10,0.87,1.34,0.92,976.73
0.684,0.23,0.91,-0.35,-0.36,-0.04,0.10,0.87,1.34,0.92,976.73
0.728,0.23,0.91,-0.35,-0.36,-0.04,0.10,0.87,1.34,0.92,976.72
