time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.05,1.00,-0.09,0.63,0.31,0.07,0.01,-0.08,0.07,1006.30
0.006,0.05,1.00,-0.09,0.63,0.31,0.07,-0.02,-0.02,0.05,1006.30
0.01,0.05,1.00,-0.09,-0.03,0.10,0.11,-0.02,-0.02,0.05,1006.30
0.08,0.05,0.99,-0.09,-0.03,0.10,0.11,-0.02,-0.02,0.05,1006.30
0.083,0.05,0.99,-0.09,-0.03,0.10,0.11,0.00,0.01,0.01,1006.30
0.085,0.05,0.99,-0.09,-0.03,0.10,0.11,0.00,0.01,0.01,1006.30
0.089,0.05,0.99,-0.09,0.00,-0.01,0.06,0.00,0.01,0.01,1006.30
0.126,0.05,0.99,-0.09,0.00,-0.01,0.06,0.00,0.01,0.03,1006.30
0.13,0.04,0.99,-0.09,0.00,-0.01,0.06,0.00,0.01,0.03,1006.30
0.131,0.04,0.99,-0.09,-0.00,-0.01,0.06,0.00,0.01,0.03,1006.30
0.182,0.06,1.00,-0.10,-0.00,-0.01,0.06,0.00,0.01,0.03,1006.30
0.192,0.06,1.00,-0.10,-0.00,-0.01,0.06,0.02,-0.02,0.04,1006.30
0.195,0.06,1.00,-0.10,0.09,0.02,-0.04,0.02,-0.02,0.04,1006.30
0.265,0.06,1.00,-0.10,0.09,0.02,-0.04,0.02,-0.02,0.04,1006.30
0.267,0.06,1.00,-0.10,0.09,0.02,-0.04,0.02,-0.03,0.04,1006.30
0.27,0.06,1.00,-0.10,0.09,0.02,-0.04,0.02,-0.03,0.04,1006.29
0.272,0.06,1.00,-0.10,-0.01,0.05,0.02,0.02,-0.03,0.04,1006.29
0.317,0.08,1.00,-0.10,-0.01,0.05,0.02,0.02,-0.03,0.04,1006.29
0.319,0.08,1.00,-0.10,-0.01,0.05,0.02,0.02,-0.01,0.01,1006.29
0.321,0.08,1.00,-0.10,0.15,0.04,-0.01,0.02,-0.01,0.01,1006.29
0.37,0.06,0.99,-0.12,0.15,0.04,-0.01,0.02,-0.01,0.01,1006.29
0.372,0.06,0.99,-0.12,0.15,0.04,-0.01,0.01,0.01,-0.02,1006.29
0.374,0.06,0.99,-0.12,0.01,0.00,-0.20,0.01,0.01,-0.02,1006.29
0.419,0.06,0.99,-0.11,0.01,0.00,-0.20,0.01,0.01,-0.02,1006.29
0.421,0.06,0.99,-0.11,0.01,0.00,-0.20,0.01,0.01,-0.03,1006.29
0.423,0.06,0.99,-0.11,0.01,0.00,-0.20,0.01,0.01,-0.03,1006.30
0.425,0.06,0.99,-0.11,0.01,-0.06,-0.08,0.01,0.01,-0.03,1006.30
0.522,0.06,1.01,-0.10,0.01,-0.06,-0.08,0.01,0.01,-0.03,1006.30
0.525,0.06,1.01,-0.10,0.01,-0.06,-0.08,0.01,-0.04,-0.05,1006.30
0.527,0.06,1.01,-0.10,0.02,0.14,-0.03,0.01,-0.04,-0.05,1006.30
0.539,0.05,1.00,-0.10,0.02,0.14,-0.03,0.01,-0.04,-0.05,1006.30
0.542,0.05,1.00,-0.10,0.02,0.14,-0.03,0.02,-0.01,-0.05,1006.30
0.545,0.05,1.00,-0.10,-0.03,0.02,0.00,0.02,-0.01,-0.05,1006.30
0.61,0.05,0.99,-0.10,-0.03,0.02,0.00,0.02,-0.01,-0.05,1006.30
0.613,0.05,0.99,-0.10,-0.03,0.02,0.00,0.01,0.04,-0.04,1006.30
0.616,0.05,0.99,-0.10,-0.03,0.02,0.00,0.01,0.04,-0.04,1006.30
0.617,0.05,0.99,-0.10,-0.00,-0.00,0.02,0.01,0.04,-0.04,1006.30
0.655,0.05,0.99,-0.10,-0.00,-0.00,0.02,0.01,0.04,-0.04,1006.30
0.658,0.05,0.99,-0.10,-0.00,-0.00,0.02,0.02,0.02,-0.03,1006.30
0.66,0.05,0.99,-0.10,0.03,-0.05,-0.03,0.02,0.02,-0.03,1006.30
0.722,0.05,0.99,-0.09,0.03,-0.05,-0.03,0.02,0.02,-0.03,1006.30
0.728,0.05,0.99,-0.09,0.03,-0.05,-0.03,0.02,-0.05,-0.03,1006.30
0.733,0.05,0.99,-0.09,0.00,-0.02,0.08,0.02,-0.05,-0.03,1006.30
0.789,0.07,0.99,-0.09,0.00,-0.02,0.08,0.02,-0.05,-0.03,1006.30
0.801,0.07,0.99,-0.09,0.00,-0.02,0.08,0.01,0.16,-0.03,1006.30
0.804,0.07,0.99,-0.09,0.00,-0.02,0.08,0.01,0.16,-0.03,1006.30
0.816,0.07,0.99,-0.09,0.20,-0.03,0.15,0.01,0.16,-0.03,1006.30
0.857,0.05,1.00,-0.09,0.20,-0.03,0.15,0.01,0.16,-0.03,1006.30
0.86,0.05,1.00,-0.09,0.20,-0.03,0.15,-0.00,0.07,-0.02,1006.30
0.862,0.05,1.00,-0.09,0.02,0.05,0.08,-0.00,0.07,-0.02,1006.30
0.896,-0.03,1.02,-0.16,0.02,0.05,0.08,-0.00,0.07,-0.02,1006.30
0.904,-0.03,1.02,-0.16,0.02,0.05,0.08,-0.01,0.07,-0.02,1006.30
0.906,-0.03,1.02,-0.16,-0.71,0.29,-0.56,-0.01,0.07,-0.02,1006.30
0.957,0.06,1.00,-0.09,-0.71,0.29,-0.56,-0.01,0.07,-0.02,1006.30
