time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.29,0.95,0.01,-0.03,-0.05,-0.02,-0.01,-0.04,0.00,1012.85
0.004,0.31,0.94,0.03,-0.03,-0.05,-0.02,-0.01,-0.04,0.00,1012.85
0.005,0.31,0.94,0.03,-0.03,-0.05,-0.02,0.01,-0.09,0.01,1012.85
0.006,0.31,0.94,0.03,0.03,0.03,0.09,0.01,-0.09,0.01,1012.85
0.037,0.31,0.94,0.03,0.03,0.03,0.09,0.05,0.02,-0.02,1012.85
0.038,0.31,0.94,0.03,0.04,0.03,0.10,0.05,0.02,-0.02,1012.85
0.044,0.31,0.94,0.03,0.04,0.03,0.10,0.05,0.02,-0.02,1012.84
0.056,0.32,0.94,0.02,0.04,0.03,0.10,0.05,0.02,-0.02,1012.84
0.075,0.32,0.94,0.02,0.04,0.03,0.10,0.08,0.05,-0.07,1012.84
0.076,0.32,0.94,0.02,0.15,-0.01,0.11,0.08,0.05,-0.07,1012.84
0.108,0.32,0.94,0.02,0.15,-0.01,0.11,0.08,0.05,-0.07,1012.84
0.129,0.31,0.95,0.04,0.15,-0.01,0.11,0.08,0.05,-0.07,1012.84
0.132,0.31,0.95,0.04,0.15,-0.01,0.11,0.13,-0.01,-0.09,1012.84
0.134,0.31,0.95,0.04,0.12,-0.06,0.24,0.13,-0.01,-0.09,1012.84
0.161,0.31,0.95,0.04,0.12,-0.06,0.24,0.19,-0.03,-0.11,1012.84
0.163,0.31,0.95,0.04,0.14,-0.06,0.27,0.19,-0.03,-0.11,1012.84
0.19,0.31,0.95,0.04,0.14,-0.06,0.27,0.19,-0.03,-0.11,1012.84
0.195,0.28,0.94,0.01,0.14,-0.06,0.27,0.19,-0.03,-0.11,1012.84
0.199,0.28,0.94,0.01,0.14,-0.06,0.27,0.21,-0.13,-0.12,1012.84
0.201,0.28,0.94,0.01,0.10,-0.03,0.32,0.21,-0.13,-0.12,1012.84
0.225,0.28,0.94,0.01,0.10,-0.03,0.32,0.21,-0.13,-0.12,1012.85
0.238,0.28,0.94,0.01,-0.03,-0.08,0.20,0.21,-0.13,-0.12,1012.85
0.242,0.29,0.94,0.03,-0.03,-0.08,0.20,0.21,-0.13,-0.12,1012.85
0.245,0.29,0.94,0.03,-0.03,-0.08,0.20,0.26,-0.21,-0.14,1012.85
0.284,0.29,0.94,0.03,-0.03,-0.08,0.20,0.35,-0.25,-0.16,1012.85
0.286,0.29,0.94,0.03,0.03,-0.09,0.35,0.35,-0.25,-0.16,1012.85
0.288,0.29,0.94,0.03,0.03,-0.09,0.35,0.35,-0.25,-0.16,1012.85
0.302,0.28,0.95,0.01,0.03,-0.09,0.35,0.35,-0.25,-0.16,1012.85
0.313,0.28,0.95,0.01,0.03,-0.09,0.35,0.45,-0.18,-0.19,1012.85
0.317,0.28,0.95,0.01,0.12,-0.14,0.80,0.45,-0.18,-0.19,1012.85
0.373,0.28,0.95,0.01,0.12,-0.14,0.80,0.45,-0.18,-0.19,1012.85
0.375,0.26,0.94,-0.09,0.12,-0.14,0.80,0.45,-0.18,-0.19,1012.85
0.375,0.26,0.94,-0.09,0.12,-0.14,0.80,0.47,-0.17,-0.22,1012.85
0.376,0.26,0.94,-0.09,0.06,-0.05,0.38,0.47,-0.17,-0.22,1012.85
0.393,0.26,0.94,-0.09,0.06,-0.05,0.38,0.41,-0.26,-0.19,1012.85
0.394,0.26,0.94,-0.09,0.13,-0.05,0.55,0.41,-0.26,-0.19,1012.85
0.415,0.26,0.94,-0.09,0.13,-0.05,0.55,0.41,-0.26,-0.19,1012.85
0.417,0.20,0.93,-0.13,0.13,-0.05,0.55,0.41,-0.26,-0.19,1012.85
0.437,0.20,0.93,-0.13,0.13,-0.05,0.55,0.35,-0.34,-0.13,1012.85
0.439,0.20,0.93,-0.13,-0.00,-0.13,-0.09,0.35,-0.34,-0.13,1012.85
0.465,0.20,0.93,-0.13,-0.00,-0.13,-0.09,0.35,-0.34,-0.13,1012.85
0.472,0.19,0.96,-0.15,-0.00,-0.13,-0.09,0.35,-0.34,-0.13,1012.85
0.473,0.19,0.96,-0.15,-0.00,-0.13,-0.09,0.34,-0.32,-0.03,1012.85
0.473,0.19,0.96,-0.15,-0.42,-0.24,-0.04,0.34,-0.32,-0.03,1012.85
0.513,0.19,0.96,-0.15,-0.42,-0.24,-0.04,0.29,-0.43,0.08,1012.85
0.515,0.19,0.96,-0.15,-0.42,-0.21,0.10,0.29,-0.43,0.08,1012.85
0.524,0.19,0.96,-0.15,-0.42,-0.21,0.10,0.29,-0.43,0.08,1012.83
0.531,0.21,1.00,-0.20,-0.42,-0.21,0.10,0.29,-0.43,0.08,1012.83
0.551,0.21,1.00,-0.20,-0.76,0.06,-0.50,0.29,-0.43,0.08,1012.83
0.553,0.21,1.00,-0.20,-0.76,0.06,-0.50,0.26,-0.33,0.07,1012.83
0.587,0.21,1.00,-0.20,-0.76,0.06,-0.50,0.26,-0.33,0.07,1012.83
0.591,0.30,0.96,-0.15,-0.76,0.06,-0.50,0.26,-0.33,0.07,1012.83
0.592,0.30,0.96,-0.15,0.03,0.33,-0.19,0.26,-0.33,0.07,1012.83
0.592,0.30,0.96,-0.15,0.03,0.33,-0.19,0.27,-0.22,0.04,1012.83
0.633,0.30,0.96,-0.15,0.03,0.34,-0.09,0.27,-0.22,0.04,1012.83
0.634,0.30,0.96,-0.15,0.03,0.34,-0.09,0.26,-0.05,0.02,1012.83
0.644,0.30,0.96,-0.15,0.03,0.34,-0.09,0.26,-0.05,0.02,1012.83
0.661,0.23,0.96,-0.27,0.03,0.34,-0.09,0.26,-0.05,0.02,1012.83
0.669,0.23,0.96,-0.27,0.03,0.34,-0.09,0.16,0.02,0.01,1012.83
0.67,0.23,0.96,-0.27,0.34,0.52,-0.32,0.16,0.02,0.01,1012.83
0.705,0.23,0.96,-0.27,0.34,0.52,-0.32,0.16,0.02,0.01,1012.83
0.713,0.20,0.96,-0.19,0.34,0.52,-0.32,0.16,0.02,0.01,1012.83
0.715,0.20,0.96,-0.19,0.34,0.52,-0.32,0.13,0.01,0.05,1012.83
0.717,0.20,0.96,-0.19,-0.29,0.04,-0.60,0.13,0.01,0.05,1012.83
0.749,0.20,0.96,-0.19,-0.29,0.04,-0.60,0.14,-0.01,0.14,1012.83
0.75,0.20,0.96,-0.19,-0.33,0.06,-0.54,0.14,-0.01,0.14,1012.83
0.78,0.20,0.96,-0.19,-0.33,0.06,-0.54,0.14,-0.01,0.14,1012.82
0.782,0.16,0.94,-0.21,-0.33,0.06,-0.54,0.14,-0.01,0.14,1012.82
0.788,0.16,0.94,-0.21,-0.33,0.06,-0.54,0.16,-0.00,0.29,1012.82
0.789,0.16,0.94,-0.21,-0.85,0.15,0.06,0.16,-0.00,0.29,1012.82
0.824,0.16,0.94,-0.21,-0.85,0.15,0.06,0.16,-0.00,0.29,1012.84
0.827,0.13,0.95,-0.21,-0.85,0.15,0.06,0.16,-0.00,0.29,1012.84
0.828,0.13,0.95,-0.21,-0.85,0.15,0.06,0.19,-0.06,0.49,1012.84
0.829,0.13,0.95,-0.21,-1.44,0.06,-0.10,0.19,-0.06,0.49,1012.84
0.878,0.13,0.95,-0.21,-1.44,0.06,-0.10,0.20,-0.16,0.67,1012.84
0.88,0.13,0.95,-0.21,-1.65,0.15,-0.01,0.20,-0.16,0.67,1012.84
0.883,0.13,0.95,-0.21,-1.65,0.15,-0.01,0.20,-0.16,0.67,1012.86
0.884,0.26,0.88,-0.25,-1.65,0.15,-0.01,0.20,-0.16,0.67,1012.86
0.907,0.26,0.88,-0.25,-1.65,0.15,-0.01,0.19,-0.19,0.75,1012.86
0.911,0.26,0.88,-0.25,-1.26,0.18,-0.02,0.19,-0.19,0.75,1012.86
0.944,0.26,0.88,-0.25,-1.26,0.18,-0.02,0.19,-0.19,0.75,1012.85
0.947,0.39,0.95,-0.25,-1.26,0.18,-0.02,0.19,-0.19,0.75,1012.85
0.947,0.39,0.95,-0.25,-1.26,0.18,-0.02,0.17,-0.23,0.72,1012.85
0.948,0.39,0.95,-0.25,-0.55,-0.25,-0.27,0.17,-0.23,0.72,1012.85
0.987,0.39,0.95,-0.25,-0.55,-0.25,-0.27,0.11,-0.10,0.62,1012.85
0.991,0.39,0.95,-0.25,-0.74,-0.15,-0.21,0.11,-0.10,0.62,1012.85
1.003,0.53,0.95,-0.35,-0.74,-0.15,-0.21,0.11,-0.10,0.62,1012.85
1.007,0.53,0.95,-0.35,-0.74,-0.15,-0.21,0.11,-0.10,0.62,1012.84
1.025,0.53,0.95,-0.35,-0.74,-0.15,-0.21,-0.04,0.05,0.33,1012.84
1.028,0.53,0.95,-0.35,0.54,0.71,-0.45,-0.04,0.05,0.33,1012.84
1.068,0.70,1.44,-0.42,0.54,0.71,-0.45,-0.04,0.05,0.33,1012.84
1.07,0.70,1.44,-0.42,0.54,0.71,-0.45,-0.40,0.06,-0.08,1012.84
1.07,0.70,1.44,-0.42,0.54,0.71,-0.45,-0.40,0.06,-0.08,1012.83
1.072,0.70,1.44,-0.42,1.87,1.35,-1.98,-0.40,0.06,-0.08,1012.83
1.124,0.70,1.44,-0.42,1.87,1.35,-1.98,-0.23,0.71,-0.57,1012.83
1.125,0.70,1.44,-0.42,1.98,1.23,-2.13,-0.23,0.71,-0.57,1012.83
1.126,-0.14,1.42,-0.05,1.98,1.23,-2.13,-0.23,0.71,-0.57,1012.83
1.127,-0.14,1.42,-0.05,1.98,1.23,-2.13,-0.23,0.71,-0.57,1012.83
1.144,-0.14,1.42,-0.05,1.98,1.23,-2.13,0.05,0.69,-0.11,1012.83
1.147,-0.14,1.42,-0.05,2.54,7.10,-0.42,0.05,0.69,-0.11,1012.83
