time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.012,-0.17,0.99,-0.01,-0.46,-0.05,0.26,-0.01,0.12,-0.01,1012.87
0.013,-0.17,0.99,-0.01,-0.46,-0.05,0.26,-0.00,0.06,0.02,1012.87
0.014,-0.17,0.99,-0.01,-0.18,-0.04,0.10,-0.00,0.06,0.02,1012.87
0.027,-0.17,0.99,-0.01,-0.18,-0.04,0.10,-0.00,0.06,0.02,1012.86
0.05,-0.22,1.00,-0.04,-0.18,-0.04,0.10,-0.00,0.06,0.02,1012.86
0.051,-0.22,1.00,-0.04,-0.18,-0.04,0.10,-0.02,0.23,0.08,1012.86
0.052,-0.22,1.00,-0.04,-0.67,0.05,-0.18,-0.02,0.23,0.08,1012.86
0.084,-0.22,1.00,-0.04,-0.67,0.05,-0.18,-0.02,0.23,0.08,1012.86
0.098,-0.22,1.03,-0.03,-0.67,0.05,-0.18,-0.02,0.23,0.08,1012.86
0.1,-0.22,1.03,-0.03,-0.67,0.05,-0.18,-0.03,0.12,0.20,1012.86
0.101,-0.22,1.03,-0.03,-0.75,0.25,-0.08,-0.03,0.12,0.20,1012.86
0.13,-0.12,0.98,-0.03,-0.75,0.25,-0.08,-0.03,0.12,0.20,1012.86
0.131,-0.12,0.98,-0.03,-0.75,0.25,-0.08,-0.06,0.09,0.29,1012.86
0.131,-0.12,0.98,-0.03,0.10,-0.18,-0.06,-0.06,0.09,0.29,1012.86
0.144,-0.12,0.98,-0.03,0.10,-0.18,-0.06,-0.06,0.09,0.29,1012.86
0.169,-0.08,0.98,-0.04,0.10,-0.18,-0.06,-0.06,0.09,0.29,1012.86
0.171,-0.08,0.98,-0.04,0.10,-0.18,-0.06,-0.07,0.35,0.30,1012.86
0.172,-0.08,0.98,-0.04,0.39,-0.24,-0.16,-0.07,0.35,0.30,1012.86
0.209,-0.08,0.98,-0.04,0.39,-0.24,-0.16,-0.07,0.35,0.30,1012.87
0.211,-0.15,1.01,0.04,0.39,-0.24,-0.16,-0.07,0.35,0.30,1012.87
0.212,-0.15,1.01,0.04,0.39,-0.24,-0.16,-0.05,0.41,0.29,1012.87
0.213,-0.15,1.01,0.04,-0.44,0.03,0.60,-0.05,0.41,0.29,1012.87
0.249,-0.17,0.97,0.06,-0.44,0.03,0.60,-0.05,0.41,0.29,1012.87
0.249,-0.17,0.97,0.06,-0.44,0.03,0.60,0.03,0.26,0.31,1012.87
0.25,-0.17,0.97,0.06,-0.70,-0.38,0.81,0.03,0.26,0.31,1012.87
0.264,-0.17,0.97,0.06,-0.70,-0.38,0.81,0.03,0.26,0.31,1012.88
0.295,-0.21,0.94,0.01,-0.70,-0.38,0.81,0.03,0.26,0.31,1012.88
0.295,-0.21,0.94,0.01,-0.70,-0.38,0.81,0.21,0.09,0.44,1012.88
0.296,-0.21,0.94,0.01,-1.26,-0.61,0.39,0.21,0.09,0.44,1012.88
0.325,-0.21,0.94,0.01,-1.26,-0.61,0.39,0.21,0.09,0.44,1012.88
0.327,0.00,0.99,-0.06,-1.26,-0.61,0.39,0.21,0.09,0.44,1012.88
0.328,0.00,0.99,-0.06,-1.26,-0.61,0.39,0.35,-0.08,0.59,1012.88
0.329,0.00,0.99,-0.06,0.58,-0.12,-0.18,0.35,-0.08,0.59,1012.88
0.367,0.18,1.06,-0.04,0.58,-0.12,-0.18,0.35,-0.08,0.59,1012.88
0.368,0.18,1.06,-0.04,0.58,-0.12,-0.18,0.38,-0.02,0.46,1012.88
0.369,0.18,1.06,-0.04,2.11,0.54,0.18,0.38,-0.02,0.46,1012.88
0.384,0.18,1.06,-0.04,2.11,0.54,0.18,0.38,-0.02,0.46,1012.87
0.407,0.24,1.15,-0.04,2.11,0.54,0.18,0.38,-0.02,0.46,1012.87
0.409,0.24,1.15,-0.04,2.11,0.54,0.18,0.40,0.09,0.12,1012.87
0.409,0.24,1.15,-0.04,2.55,1.42,0.32,0.40,0.09,0.12,1012.87
0.444,0.24,1.15,-0.04,2.55,1.42,0.32,0.40,0.09,0.12,1012.86
0.445,0.19,1.18,-0.04,2.55,1.42,0.32,0.40,0.09,0.12,1012.86
0.446,0.19,1.18,-0.04,2.55,1.42,0.32,0.38,0.00,-0.22,1012.86
0.446,0.19,1.18,-0.04,2.14,1.69,0.46,0.38,0.00,-0.22,1012.86
0.486,0.44,1.43,0.07,2.14,1.69,0.46,0.38,0.00,-0.22,1012.86
0.488,0.44,1.43,0.07,4.72,4.07,1.66,0.38,0.00,-0.22,1012.86
0.489,0.44,1.43,0.07,4.72,4.07,1.66,0.38,0.18,-0.42,1012.86
0.511,0.44,1.43,0.07,4.72,4.07,1.66,0.38,0.18,-0.42,1012.85
0.547,0.47,1.58,0.11,4.72,4.07,1.66,0.38,0.18,-0.42,1012.85
0.549,0.47,1.58,0.11,4.72,4.07,1.66,0.52,1.31,-0.94,1012.85
0.55,0.47,1.58,0.11,5.18,5.52,2.30,0.52,1.31,-0.94,1012.85
0.564,-0.27,1.53,-0.30,5.18,5.52,2.30,0.52,1.31,-0.94,1012.85
0.565,-0.27,1.53,-0.30,5.18,5.52,2.30,1.00,1.81,-1.63,1012.85
0.566,-0.27,1.53,-0.30,5.18,5.52,2.30,1.00,1.81,-1.63,1012.83
0.567,-0.27,1.53,-0.30,-1.44,5.07,-1.33,1.00,1.81,-1.63,1012.83
0.604,-0.41,1.59,-0.34,-1.44,5.07,-1.33,1.00,1.81,-1.63,1012.83
0.606,-0.41,1.59,-0.34,-1.44,5.07,-1.33,1.36,-0.34,-1.93,1012.83
0.607,-0.41,1.59,-0.34,-2.09,5.75,-1.17,1.36,-0.34,-1.93,1012.83
0.628,-0.41,1.59,-0.34,-2.09,5.75,-1.17,1.36,-0.34,-1.93,1012.84
0.644,-0.41,1.59,-0.34,7.25,3.13,1.70,1.36,-0.34,-1.93,1012.84
0.646,0.47,1.30,-0.09,7.25,3.13,1.70,1.36,-0.34,-1.93,1012.84
0.648,0.47,1.30,-0.09,7.25,3.13,1.70,1.29,-0.96,-1.78,1012.84
0.685,0.04,0.80,0.05,7.25,3.13,1.70,1.29,-0.96,-1.78,1012.84
0.688,0.04,0.80,0.05,7.25,3.13,1.70,0.93,0.18,-1.31,1012.84
0.69,0.04,0.80,0.05,3.47,-1.52,3.37,0.93,0.18,-1.31,1012.84
0.692,0.04,0.80,0.05,3.47,-1.52,3.37,0.93,0.18,-1.31,1012.85
0.723,0.20,0.59,0.13,3.47,-1.52,3.37,0.93,0.18,-1.31,1012.85
0.727,0.20,0.59,0.13,3.47,-1.52,3.37,0.40,-0.25,0.13,1012.85
0.727,0.20,0.59,0.13,4.86,-3.47,4.15,0.40,-0.25,0.13,1012.85
0.751,0.20,0.59,0.13,4.86,-3.47,4.15,0.40,-0.25,0.13,1012.86
0.783,0.12,0.36,0.11,4.86,-3.47,4.15,0.40,-0.25,0.13,1012.86
0.785,0.12,0.36,0.11,4.86,-3.47,4.15,-0.34,0.22,1.13,1012.86
0.786,0.12,0.36,0.11,3.60,-5.81,3.83,-0.34,0.22,1.13,1012.86
0.803,-0.07,0.29,-0.06,3.60,-5.81,3.83,-0.34,0.22,1.13,1012.86
0.805,-0.07,0.29,-0.06,3.60,-5.81,3.83,-0.93,0.97,1.76,1012.86
0.806,-0.07,0.29,-0.06,3.60,-5.81,3.83,-0.93,0.97,1.76,1012.87
0.806,-0.07,0.29,-0.06,0.93,-6.58,1.81,-0.93,0.97,1.76,1012.87
0.843,-0.07,0.29,-0.06,-3.33,-7.96,-0.59,-0.93,0.97,1.76,1012.87
0.844,-0.43,0.16,-0.27,-3.33,-7.96,-0.59,-0.93,0.97,1.76,1012.87
0.845,-0.43,0.16,-0.27,-3.33,-7.96,-0.59,-1.25,1.28,1.89,1012.87
0.864,-0.43,0.16,-0.27,-3.33,-7.96,-0.59,-1.25,1.28,1.89,1012.87
0.88,-0.64,0.25,-0.58,-3.33,-7.96,-0.59,-1.25,1.28,1.89,1012.87
0.881,-0.64,0.25,-0.58,-3.33,-7.96,-0.59,-1.02,0.90,1.50,1012.87
0.882,-0.64,0.25,-0.58,-5.92,-7.05,-3.93,-1.02,0.90,1.50,1012.87
0.923,-1.02,1.39,-1.64,-5.92,-7.05,-3.93,-1.02,0.90,1.50,1012.87
0.926,-1.02,1.39,-1.64,-5.92,-7.05,-3.93,0.54,0.60,-0.19,1012.87
0.928,-1.02,1.39,-1.64,-9.45,4.10,-13.84,0.54,0.60,-0.19,1012.87
