time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,0.37,0.94,-0.00,-0.23,0.08,-0.08,-0.04,0.06,-0.03,1012.85
0.003,0.37,0.94,-0.00,-0.23,0.08,-0.08,-0.04,0.06,-0.03,1012.86
0.009,0.44,0.90,0.06,-0.23,0.08,-0.08,-0.04,0.06,-0.03,1012.86
0.01,0.44,0.90,0.06,-0.23,0.08,-0.08,-0.05,-0.07,0.01,1012.86
0.011,0.44,0.90,0.06,-0.23,0.08,-0.08,-0.05,-0.07,0.01,1012.86
0.028,0.41,0.91,0.04,-0.23,0.08,-0.08,-0.05,-0.07,0.01,1012.86
0.05,0.38,0.93,0.01,-0.23,0.08,-0.08,-0.05,-0.07,0.01,1012.86
0.051,0.38,0.93,0.01,-0.23,0.08,-0.08,-0.04,-0.04,0.01,1012.86
0.052,0.38,0.93,0.01,0.21,0.10,-0.01,-0.04,-0.04,0.01,1012.86
0.067,0.38,0.93,0.01,0.21,0.10,-0.01,-0.04,-0.04,0.01,1012.86
0.069,0.34,0.91,0.03,0.21,0.10,-0.01,-0.04,-0.04,0.01,1012.86
0.087,0.35,0.92,0.03,0.21,0.10,-0.01,-0.04,-0.04,0.01,1012.86
0.088,0.35,0.92,0.03,0.21,0.10,-0.01,-0.02,0.04,-0.03,1012.86
0.089,0.35,0.92,0.03,-0.25,0.12,-0.10,-0.02,0.04,-0.03,1012.86
0.113,0.40,0.93,0.02,-0.25,0.12,-0.10,-0.02,0.04,-0.03,1012.86
0.115,0.40,0.93,0.02,-0.25,0.12,-0.10,-0.02,0.04,-0.03,1012.86
0.127,0.38,0.90,0.02,-0.25,0.12,-0.10,-0.02,0.04,-0.03,1012.86
0.129,0.38,0.90,0.02,-0.25,0.12,-0.10,-0.02,-0.04,0.00,1012.86
0.129,0.38,0.90,0.02,-0.25,0.12,-0.10,-0.02,-0.04,0.00,1012.86
0.147,0.36,0.91,0.01,-0.25,0.12,-0.10,-0.02,-0.04,0.00,1012.86
