time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.24,0.98,-0.09,-0.06,0.02,0.07,0.01,-0.16,0.11,976.11
0.006,0.24,0.98,-0.09,-0.06,0.02,0.07,0.01,-0.16,0.11,976.11
0.021,0.22,0.97,-0.12,-0.06,0.02,0.07,0.01,-0.16,0.11,976.11
0.022,0.22,0.97,-0.12,-0.06,0.02,0.07,0.03,-0.11,0.09,976.11
0.022,0.22,0.97,-0.12,-0.09,0.02,0.09,0.03,-0.11,0.09,976.11
0.042,0.22,0.99,-0.10,-0.09,0.02,0.09,0.03,-0.11,0.09,976.11
0.061,0.23,0.97,-0.08,-0.09,0.02,0.09,0.03,-0.11,0.09,976.11
0.061,0.23,0.97,-0.08,-0.09,0.02,0.09,0.04,-0.02,0.04,976.11
0.062,0.23,0.97,-0.08,0.25,0.07,-0.05,0.04,-0.02,0.04,976.11
0.062,0.23,0.97,-0.08,0.25,0.07,-0.05,0.04,-0.02,0.04,976.12
0.08,0.21,0.97,-0.11,0.25,0.07,-0.05,0.04,-0.02,0.04,976.12
0.118,0.20,0.97,-0.12,0.25,0.07,-0.05,0.04,-0.02,0.04,976.12
0.12,0.20,0.97,-0.12,0.25,0.07,-0.05,0.06,0.03,-0.03,976.12
0.122,0.20,0.97,-0.12,0.09,0.02,-0.04,0.06,0.03,-0.03,976.12
0.123,0.19,0.96,-0.12,0.09,0.02,-0.04,0.06,0.03,-0.03,976.12
0.124,0.19,0.96,-0.12,0.09,0.02,-0.04,0.06,0.03,-0.03,976.11
0.14,0.16,0.95,-0.14,0.09,0.02,-0.04,0.06,0.03,-0.03,976.11
0.141,0.16,0.95,-0.14,0.09,0.02,-0.04,0.05,0.03,-0.04,976.11
0.142,0.16,0.95,-0.14,0.10,0.02,-0.03,0.05,0.03,-0.04,976.11
0.16,0.18,0.96,-0.15,0.10,0.02,-0.03,0.05,0.03,-0.04,976.11
0.183,0.19,1.01,-0.11,0.10,0.02,-0.03,0.05,0.03,-0.04,976.11
0.186,0.19,1.01,-0.11,0.10,0.02,-0.03,-0.00,-0.02,-0.01,976.11
0.188,0.19,1.01,-0.11,-0.23,-0.13,-0.37,-0.00,-0.02,-0.01,976.11
0.19,0.19,1.01,-0.11,-0.23,-0.13,-0.37,-0.00,-0.02,-0.01,976.11
0.223,0.14,1.00,-0.10,-0.23,-0.13,-0.37,-0.00,-0.02,-0.01,976.11
0.225,0.19,0.95,-0.09,-0.23,-0.13,-0.37,-0.00,-0.02,-0.01,976.11
0.225,0.19,0.95,-0.09,-0.23,-0.13,-0.37,-0.05,-0.06,-0.01,976.11
0.226,0.19,0.95,-0.09,-0.23,0.17,0.01,-0.05,-0.06,-0.01,976.11
0.245,0.25,0.95,-0.09,-0.23,0.17,0.01,-0.05,-0.06,-0.01,976.11
0.247,0.25,0.95,-0.09,-0.23,0.17,0.01,-0.05,-0.06,-0.01,976.10
0.26,0.18,0.95,-0.13,-0.23,0.17,0.01,-0.05,-0.06,-0.01,976.10
