time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,0.23,0.97,-0.15,0.20,0.09,0.13,0.03,-0.08,0.04,976.57
0.009,0.30,0.93,-0.16,0.20,0.09,0.13,0.03,-0.08,0.04,976.57
0.01,0.30,0.93,-0.16,0.20,0.09,0.13,0.02,-0.14,0.08,976.57
0.011,0.30,0.93,-0.16,-0.29,0.12,-0.16,0.02,-0.14,0.08,976.57
0.015,0.30,0.93,-0.16,-0.29,0.12,-0.16,0.02,-0.14,0.08,976.57
0.032,0.28,0.96,-0.15,-0.29,0.12,-0.16,0.02,-0.14,0.08,976.57
0.049,0.15,0.98,-0.14,-0.29,0.12,-0.16,0.02,-0.14,0.08,976.57
0.051,0.15,0.98,-0.14,-0.29,0.12,-0.16,0.00,0.01,0.06,976.57
0.051,0.15,0.98,-0.14,-0.07,0.04,-0.22,0.00,0.01,0.06,976.57
0.069,0.26,0.96,-0.13,-0.07,0.04,-0.22,0.00,0.01,0.06,976.57
0.075,0.26,0.96,-0.13,-0.07,0.04,-0.22,0.00,0.01,0.06,976.57
0.089,0.30,0.95,-0.14,-0.07,0.04,-0.22,0.00,0.01,0.06,976.57
0.09,0.30,0.95,-0.14,-0.07,0.04,-0.22,-0.00,0.04,0.05,976.57
0.091,0.30,0.95,-0.14,-0.08,0.04,-0.22,-0.00,0.04,0.05,976.57
0.113,0.23,0.96,-0.13,-0.08,0.04,-0.22,-0.00,0.04,0.05,976.57
0.128,0.23,0.96,-0.14,-0.08,0.04,-0.22,-0.00,0.04,0.05,976.57
0.129,0.23,0.96,-0.14,-0.08,0.04,-0.22,0.00,0.07,0.05,976.57
0.13,0.23,0.96,-0.14,0.10,0.05,-0.06,0.00,0.07,0.05,976.57
0.135,0.23,0.96,-0.14,0.10,0.05,-0.06,0.00,0.07,0.05,976.56
0.148,0.27,0.96,-0.14,0.10,0.05,-0.06,0.00,0.07,0.05,976.56
0.168,0.26,0.94,-0.15,0.10,0.05,-0.06,0.00,0.07,0.05,976.56
0.169,0.26,0.94,-0.15,0.10,0.05,-0.06,-0.01,0.04,0.03,976.56
0.17,0.26,0.94,-0.15,0.02,0.02,-0.19,-0.01,0.04,0.03,976.56
0.189,0.23,0.95,-0.12,0.02,0.02,-0.19,-0.01,0.04,0.03,976.56
0.195,0.23,0.95,-0.12,0.02,0.02,-0.19,-0.01,0.04,0.03,976.56
0.208,0.21,0.95,-0.11,0.02,0.02,-0.19,-0.01,0.04,0.03,976.56
0.21,0.21,0.95,-0.11,0.01,0.02,-0.19,-0.01,0.04,0.03,976.56
0.211,0.21,0.95,-0.11,0.01,0.02,-0.19,-0.02,0.05,0.01,976.56
0.259,0.22,0.97,-0.14,0.01,0.02,-0.19,-0.02,0.05,0.01,976.56
0.26,0.28,0.98,-0.13,0.01,0.02,-0.19,-0.02,0.05,0.01,976.56
0.261,0.28,0.98,-0.13,0.01,0.02,-0.19,-0.00,-0.02,0.03,976.56
0.262,0.28,0.98,-0.13,-0.30,0.01,0.02,-0.00,-0.02,0.03,976.56
0.263,0.28,0.98,-0.13,-0.30,0.01,0.02,-0.00,-0.02,0.03,976.56
0.278,0.33,0.97,-0.11,-0.30,0.01,0.02,-0.00,-0.02,0.03,976.56
0.288,0.33,0.94,-0.10,-0.30,0.01,0.02,-0.00,-0.02,0.03,976.56
0.289,0.33,0.94,-0.10,-0.30,0.01,0.02,0.01,-0.04,0.00,976.56
0.29,0.33,0.94,-0.10,0.59,0.10,0.09,0.01,-0.04,0.00,976.56
0.315,0.29,0.96,-0.10,0.59,0.10,0.09,0.01,-0.04,0.00,976.56
0.316,0.29,0.96,-0.10,0.59,0.10,0.09,0.01,-0.04,0.00,976.57
0.326,0.27,0.96,-0.13,0.59,0.10,0.09,0.01,-0.04,0.00,976.57
0.328,0.27,0.96,-0.13,0.59,0.10,0.09,0.06,0.13,-0.12,976.57
0.329,0.27,0.96,-0.13,0.61,0.09,0.10,0.06,0.13,-0.12,976.57
0.346,0.23,0.94,-0.15,0.61,0.09,0.10,0.06,0.13,-0.12,976.57
0.366,0.14,0.92,-0.16,0.61,0.09,0.10,0.06,0.13,-0.12,976.57
0.369,0.14,0.92,-0.16,0.61,0.09,0.10,0.06,0.08,-0.19,976.57
0.37,0.14,0.92,-0.16,0.19,-0.03,0.00,0.06,0.08,-0.19,976.57
0.376,0.14,0.92,-0.16,0.19,-0.03,0.00,0.06,0.08,-0.19,976.56
0.386,0.12,0.98,-0.14,0.19,-0.03,0.00,0.06,0.08,-0.19,976.56
0.419,0.17,0.98,-0.11,0.19,-0.03,0.00,0.06,0.08,-0.19,976.56
0.421,0.17,0.98,-0.11,0.19,-0.03,0.00,0.02,-0.10,-0.11,976.56
0.422,0.17,0.98,-0.11,-0.97,0.04,-0.09,0.02,-0.10,-0.11,976.56
0.438,0.26,0.94,-0.11,-0.97,0.04,-0.09,0.02,-0.10,-0.11,976.56
0.439,0.26,0.94,-0.11,-0.97,0.04,-0.09,0.02,-0.10,-0.11,976.57
0.444,0.35,0.92,-0.06,-0.97,0.04,-0.09,0.02,-0.10,-0.11,976.57
0.446,0.35,0.92,-0.06,-0.97,0.04,-0.09,0.07,-0.22,-0.00,976.57
0.446,0.35,0.92,-0.06,-0.94,0.04,-0.04,0.07,-0.22,-0.00,976.57
0.464,0.38,0.96,-0.06,-0.94,0.04,-0.04,0.07,-0.22,-0.00,976.57
0.485,0.37,0.95,-0.09,-0.94,0.04,-0.04,0.07,-0.22,-0.00,976.57
0.487,0.37,0.95,-0.09,-0.94,0.04,-0.04,0.17,-0.22,-0.10,976.57
0.488,0.37,0.95,-0.09,0.96,-0.16,0.64,0.17,-0.22,-0.10,976.57
0.503,0.37,0.95,-0.09,0.96,-0.16,0.64,0.17,-0.22,-0.10,976.57
0.505,0.37,0.94,-0.11,0.96,-0.16,0.64,0.17,-0.22,-0.10,976.57
0.533,0.36,0.94,-0.12,0.96,-0.16,0.64,0.17,-0.22,-0.10,976.57
0.534,0.36,0.94,-0.12,0.96,-0.16,0.64,0.29,-0.05,-0.32,976.57
0.535,0.36,0.94,-0.12,1.40,-0.12,0.43,0.29,-0.05,-0.32,976.57
0.555,0.18,0.97,-0.17,1.40,-0.12,0.43,0.29,-0.05,-0.32,976.57
0.556,0.18,0.97,-0.17,1.40,-0.12,0.43,0.29,-0.05,-0.32,976.58
0.563,0.01,1.03,-0.19,1.40,-0.12,0.43,0.29,-0.05,-0.32,976.58
0.565,0.01,1.03,-0.19,1.40,-0.12,0.43,0.35,0.11,-0.51,976.58
0.566,0.01,1.03,-0.19,1.56,-0.14,0.54,0.35,0.11,-0.51,976.58
0.583,0.04,0.96,-0.22,1.56,-0.14,0.54,0.35,0.11,-0.51,976.58
0.603,0.13,0.91,-0.22,1.56,-0.14,0.54,0.35,0.11,-0.51,976.58
0.604,0.13,0.91,-0.22,1.56,-0.14,0.54,0.29,-0.09,-0.44,976.58
0.604,0.13,0.91,-0.22,-1.07,0.24,-0.18,0.29,-0.09,-0.44,976.58
0.616,0.13,0.91,-0.22,-1.07,0.24,-0.18,0.29,-0.09,-0.44,976.59
0.626,-0.01,0.97,-0.30,-1.07,0.24,-0.18,0.29,-0.09,-0.44,976.59
0.642,-0.07,0.94,-0.28,-1.07,0.24,-0.18,0.29,-0.09,-0.44,976.59
0.643,-0.07,0.94,-0.28,-1.07,0.24,-0.18,0.17,-0.27,-0.23,976.59
0.644,-0.07,0.94,-0.28,-1.55,-0.18,-0.78,0.17,-0.27,-0.23,976.59
0.662,0.04,0.91,-0.20,-1.55,-0.18,-0.78,0.17,-0.27,-0.23,976.59
0.675,0.04,0.91,-0.20,-1.55,-0.18,-0.78,0.17,-0.27,-0.23,976.58
0.682,0.16,1.02,-0.12,-1.55,-0.18,-0.78,0.17,-0.27,-0.23,976.58
0.684,0.16,1.02,-0.12,-1.55,-0.18,-0.78,0.04,-0.81,0.03,976.58
0.685,0.16,1.02,-0.12,-1.47,-0.17,-0.70,0.04,-0.81,0.03,976.58
0.702,0.07,0.98,-0.13,-1.47,-0.17,-0.70,0.04,-0.81,0.03,976.58
0.722,0.10,0.98,-0.19,-1.47,-0.17,-0.70,0.04,-0.81,0.03,976.58
0.723,0.10,0.98,-0.19,-1.47,-0.17,-0.70,0.17,-1.01,0.18,976.58
0.724,0.10,0.98,-0.19,-0.73,0.13,0.55,0.17,-1.01,0.18,976.58
0.735,0.10,0.98,-0.19,-0.73,0.13,0.55,0.17,-1.01,0.18,976.58
0.743,0.25,0.98,-0.23,-0.73,0.13,0.55,0.17,-1.01,0.18,976.58
0.767,0.30,0.95,-0.22,-0.73,0.13,0.55,0.17,-1.01,0.18,976.58
0.769,0.30,0.95,-0.22,-0.73,0.13,0.55,0.28,-0.77,0.19,976.58
0.77,0.30,0.95,-0.22,0.52,0.17,0.08,0.28,-0.77,0.19,976.58
0.781,0.28,0.95,-0.17,0.52,0.17,0.08,0.28,-0.77,0.19,976.58
0.795,0.28,0.95,-0.17,0.52,0.17,0.08,0.28,-0.77,0.19,976.58
0.801,0.15,0.99,-0.21,0.52,0.17,0.08,0.28,-0.77,0.19,976.58
0.802,0.15,0.99,-0.21,0.52,0.17,0.08,0.38,-0.61,0.05,976.58
0.802,0.15,0.99,-0.21,0.55,0.20,0.25,0.38,-0.61,0.05,976.58
0.82,0.21,0.97,-0.27,0.55,0.20,0.25,0.38,-0.61,0.05,976.58
0.84,0.28,0.93,-0.34,0.55,0.20,0.25,0.38,-0.61,0.05,976.58
0.843,0.28,0.93,-0.34,0.55,0.20,0.25,0.46,-0.47,-0.12,976.58
0.844,0.28,0.93,-0.34,0.55,0.21,0.37,0.46,-0.47,-0.12,976.58
0.855,0.28,0.93,-0.34,0.55,0.21,0.37,0.46,-0.47,-0.12,976.58
0.861,0.24,0.96,-0.31,0.55,0.21,0.37,0.46,-0.47,-0.12,976.58
0.88,0.03,0.99,-0.32,0.55,0.21,0.37,0.46,-0.47,-0.12,976.58
0.883,0.03,0.99,-0.32,0.55,0.21,0.37,0.42,-0.11,-0.16,976.58
0.884,0.03,0.99,-0.32,0.34,0.14,-0.46,0.42,-0.11,-0.16,976.58
0.9,-0.06,1.00,-0.37,0.34,0.14,-0.46,0.42,-0.11,-0.16,976.58
0.928,-0.06,1.00,-0.37,0.34,0.14,-0.46,0.42,-0.11,-0.16,976.58
0.931,0.09,0.93,-0.38,0.34,0.14,-0.46,0.42,-0.11,-0.16,976.58
0.933,0.09,0.93,-0.38,0.34,0.14,-0.46,0.33,0.04,-0.16,976.58
0.934,0.09,0.93,-0.38,0.39,0.16,-0.33,0.33,0.04,-0.16,976.58
0.951,0.14,0.92,-0.34,0.39,0.16,-0.33,0.33,0.04,-0.16,976.58
0.961,0.14,0.92,-0.34,-0.82,0.10,-0.66,0.33,0.04,-0.16,976.58
0.963,0.08,0.94,-0.34,-0.82,0.10,-0.66,0.33,0.04,-0.16,976.58
0.964,0.08,0.94,-0.34,-0.82,0.10,-0.66,0.23,-0.12,-0.02,976.58
0.976,0.08,0.94,-0.34,-0.82,0.10,-0.66,0.23,-0.12,-0.02,976.58
0.978,0.10,0.95,-0.32,-0.82,0.10,-0.66,0.23,-0.12,-0.02,976.58
0.998,0.10,0.92,-0.31,-0.82,0.10,-0.66,0.23,-0.12,-0.02,976.58
1.001,0.10,0.92,-0.31,-0.82,0.10,-0.66,0.20,-0.21,0.03,976.58
1.002,0.10,0.92,-0.31,-0.43,0.01,-0.17,0.20,-0.21,0.03,976.58
1.024,0.11,0.94,-0.32,-0.43,0.01,-0.17,0.20,-0.21,0.03,976.58
1.034,0.11,0.94,-0.32,-0.43,0.01,-0.17,0.20,-0.21,0.03,976.58
1.038,0.17,0.97,-0.27,-0.43,0.01,-0.17,0.20,-0.21,0.03,976.58
1.039,0.17,0.97,-0.27,-0.43,0.01,-0.17,0.20,-0.32,0.09,976.58
1.039,0.17,0.97,-0.27,-0.42,0.04,-0.08,0.20,-0.32,0.09,976.58
