time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.004,-0.06,1.01,0.01,-0.31,-0.08,0.15,0.04,0.00,0.05,1012.77
0.017,-0.06,1.02,0.01,-0.31,-0.08,0.15,0.04,0.00,0.05,1012.77
0.023,-0.06,1.02,0.01,-0.31,-0.08,0.15,0.05,-0.13,0.08,1012.77
0.024,-0.06,1.02,0.01,-0.34,-0.08,0.16,0.05,-0.13,0.08,1012.77
0.036,-0.06,0.97,0.01,-0.34,-0.08,0.16,0.05,-0.13,0.08,1012.77
0.041,-0.06,0.97,0.01,-0.34,-0.08,0.16,0.05,-0.13,0.08,1012.78
0.057,-0.05,1.02,-0.01,-0.34,-0.08,0.16,0.05,-0.13,0.08,1012.78
0.057,-0.05,1.02,-0.01,-0.34,-0.08,0.16,0.04,-0.09,0.06,1012.78
0.058,-0.05,1.02,-0.01,0.31,-0.01,0.02,0.04,-0.09,0.06,1012.78
0.075,-0.07,1.01,-0.02,0.31,-0.01,0.02,0.04,-0.09,0.06,1012.78
0.095,-0.09,0.99,-0.01,0.31,-0.01,0.02,0.04,-0.09,0.06,1012.78
0.096,-0.09,0.99,-0.01,0.31,-0.01,0.02,0.04,0.01,0.01,1012.78
0.097,-0.09,0.99,-0.01,0.21,0.01,-0.15,0.04,0.01,0.01,1012.78
0.102,-0.09,0.99,-0.01,0.21,0.01,-0.15,0.04,0.01,0.01,1012.78
0.115,-0.10,1.01,-0.01,0.21,0.01,-0.15,0.04,0.01,0.01,1012.78
0.135,-0.09,1.00,-0.00,0.21,0.01,-0.15,0.04,0.01,0.01,1012.78
0.136,-0.09,1.00,-0.00,0.21,0.01,-0.15,0.02,0.03,0.01,1012.78
0.137,-0.09,1.00,-0.00,0.20,0.01,-0.13,0.02,0.03,0.01,1012.78
0.155,-0.08,1.00,0.02,0.20,0.01,-0.13,0.02,0.03,0.01,1012.78
0.162,-0.08,1.00,0.02,0.20,0.01,-0.13,0.02,0.03,0.01,1012.77
0.175,-0.08,1.00,0.02,0.03,-0.01,0.01,0.02,0.03,0.01,1012.77
0.179,-0.09,1.00,0.02,0.03,-0.01,0.01,0.02,0.03,0.01,1012.77
0.18,-0.09,1.00,0.02,0.03,-0.01,0.01,0.02,-0.01,0.02,1012.77
0.203,-0.10,0.99,0.02,0.03,-0.01,0.01,0.02,-0.01,0.02,1012.77
0.218,-0.09,0.99,0.01,0.03,-0.01,0.01,0.02,-0.01,0.02,1012.77
0.219,-0.09,0.99,0.01,0.03,-0.01,0.01,0.03,-0.00,0.02,1012.77
0.22,-0.09,0.99,0.01,-0.05,-0.08,0.15,0.03,-0.00,0.02,1012.77
0.231,-0.09,0.99,0.01,-0.05,-0.08,0.15,0.03,-0.00,0.02,1012.76
0.233,-0.11,1.01,0.00,-0.05,-0.08,0.15,0.03,-0.00,0.02,1012.76
0.256,-0.11,1.01,0.00,-0.06,-0.08,0.17,0.03,-0.00,0.02,1012.76
0.257,-0.11,0.99,0.01,-0.06,-0.08,0.17,0.03,-0.00,0.02,1012.76
0.257,-0.11,0.99,0.01,-0.06,-0.08,0.17,0.05,0.01,0.02,1012.76
0.279,-0.08,1.00,0.01,-0.06,-0.08,0.17,0.05,0.01,0.02,1012.76
