time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.10,0.97,0.00,-0.29,-0.02,0.17,0.02,-0.08,-0.04,976.17
0.004,-0.10,0.97,0.00,-0.29,-0.02,0.17,0.02,-0.08,-0.04,976.17
0.017,-0.14,1.02,-0.03,-0.29,-0.02,0.17,0.02,-0.08,-0.04,976.17
0.018,-0.14,1.02,-0.03,-0.29,-0.02,0.17,-0.00,-0.07,-0.02,976.17
0.018,-0.14,1.02,-0.03,-0.02,0.05,-0.14,-0.00,-0.07,-0.02,976.17
0.037,-0.08,1.02,-0.03,-0.02,0.05,-0.14,-0.00,-0.07,-0.02,976.17
0.057,-0.04,1.00,-0.02,-0.02,0.05,-0.14,-0.00,-0.07,-0.02,976.17
0.058,-0.04,1.00,-0.02,-0.02,0.05,-0.14,-0.02,-0.01,-0.02,976.17
0.058,-0.04,1.00,-0.02,-0.02,0.15,-0.19,-0.02,-0.01,-0.02,976.17
0.068,-0.04,1.00,-0.02,-0.02,0.15,-0.19,-0.02,-0.01,-0.02,976.18
0.077,-0.10,1.02,-0.03,-0.02,0.15,-0.19,-0.02,-0.01,-0.02,976.18
0.096,-0.15,1.00,-0.03,-0.02,0.15,-0.19,-0.02,-0.01,-0.02,976.18
0.097,-0.15,1.00,-0.03,-0.02,0.15,-0.19,-0.02,0.02,-0.07,976.18
0.097,-0.15,1.00,-0.03,0.00,0.15,-0.20,-0.02,0.02,-0.07,976.18
0.116,-0.14,0.98,-0.03,0.00,0.15,-0.20,-0.02,0.02,-0.07,976.18
0.122,-0.14,0.98,-0.03,0.00,0.15,-0.20,-0.02,0.02,-0.07,976.17
0.136,-0.10,1.01,-0.01,0.00,0.15,-0.20,-0.02,0.02,-0.07,976.17
0.137,-0.10,1.01,-0.01,0.00,0.15,-0.20,-0.04,-0.01,-0.05,976.17
0.138,-0.10,1.01,-0.01,-0.41,0.04,-0.23,-0.04,-0.01,-0.05,976.17
0.156,-0.09,0.99,-0.00,-0.41,0.04,-0.23,-0.04,-0.01,-0.05,976.17
0.178,-0.09,1.01,0.01,-0.41,0.04,-0.23,-0.04,-0.01,-0.05,976.17
0.18,-0.09,1.01,0.01,-0.41,0.04,-0.23,-0.06,-0.02,-0.02,976.17
0.182,-0.09,1.01,0.01,-0.04,0.05,0.02,-0.06,-0.02,-0.02,976.17
0.183,-0.09,1.01,0.01,-0.04,0.05,0.02,-0.06,-0.02,-0.02,976.16
0.196,-0.08,1.01,-0.02,-0.04,0.05,0.02,-0.06,-0.02,-0.02,976.16
0.215,-0.06,1.00,-0.06,-0.04,0.05,0.02,-0.06,-0.02,-0.02,976.16
0.217,-0.06,1.00,-0.06,-0.04,0.05,0.02,-0.05,0.11,-0.05,976.16
