time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,0.22,0.96,-0.06,-0.13,0.14,0.06,-0.05,-0.14,-0.02,1012.83
0.011,0.29,0.96,-0.02,-0.13,0.14,0.06,-0.05,-0.14,-0.02,1012.83
0.012,0.29,0.96,-0.02,-0.13,0.14,0.06,-0.04,-0.11,-0.02,1012.83
0.013,0.29,0.96,-0.02,-0.28,0.14,-0.16,-0.04,-0.11,-0.02,1012.83
0.015,0.29,0.96,-0.02,-0.28,0.14,-0.16,-0.04,-0.11,-0.02,1012.82
0.031,0.30,0.96,0.02,-0.28,0.14,-0.16,-0.04,-0.11,-0.02,1012.82
0.053,0.29,0.93,0.02,-0.28,0.14,-0.16,-0.04,-0.11,-0.02,1012.82
0.054,0.29,0.93,0.02,-0.28,0.14,-0.16,-0.07,-0.12,0.03,1012.82
0.054,0.29,0.93,0.02,-0.29,0.14,-0.17,-0.07,-0.12,0.03,1012.82
0.07,0.28,0.95,0.01,-0.29,0.14,-0.17,-0.07,-0.12,0.03,1012.82
0.078,0.28,0.95,0.01,-0.29,0.14,-0.17,-0.07,-0.12,0.03,1012.80
0.09,0.30,0.95,0.01,-0.29,0.14,-0.17,-0.07,-0.12,0.03,1012.80
0.092,0.30,0.95,0.01,-0.29,0.14,-0.17,-0.05,-0.07,0.01,1012.80
0.093,0.30,0.95,0.01,-0.01,0.01,0.21,-0.05,-0.07,0.01,1012.80
0.111,0.28,0.93,0.02,-0.01,0.01,0.21,-0.05,-0.07,0.01,1012.80
0.138,0.31,0.96,-0.00,-0.01,0.01,0.21,-0.05,-0.07,0.01,1012.80
0.139,0.31,0.96,-0.00,-0.01,0.01,0.21,-0.02,-0.06,-0.02,1012.80
0.139,0.31,0.96,-0.00,0.07,0.02,0.14,-0.02,-0.06,-0.02,1012.80
0.14,0.31,0.96,-0.00,0.07,0.02,0.14,-0.02,-0.06,-0.02,1012.80
0.15,0.29,0.96,-0.01,0.07,0.02,0.14,-0.02,-0.06,-0.02,1012.80
0.17,0.24,0.94,-0.02,0.07,0.02,0.14,-0.02,-0.06,-0.02,1012.80
0.172,0.24,0.94,-0.02,0.07,0.02,0.14,-0.01,-0.01,-0.03,1012.80
0.173,0.24,0.94,-0.02,0.08,0.01,0.13,-0.01,-0.01,-0.03,1012.80
0.189,0.27,0.94,-0.01,0.08,0.01,0.13,-0.01,-0.01,-0.03,1012.80
0.199,0.27,0.94,-0.01,0.08,0.01,0.13,-0.01,-0.01,-0.03,1012.80
0.21,0.29,0.95,0.00,0.08,0.01,0.13,-0.01,-0.01,-0.03,1012.80
0.211,0.29,0.95,0.00,0.08,0.01,0.13,-0.04,-0.03,-0.02,1012.80
0.212,0.29,0.95,0.00,-0.20,-0.00,-0.13,-0.04,-0.03,-0.02,1012.80
0.229,0.27,0.97,-0.00,-0.20,-0.00,-0.13,-0.04,-0.03,-0.02,1012.80
0.252,0.26,0.95,0.00,-0.20,-0.00,-0.13,-0.04,-0.03,-0.02,1012.80
0.253,0.26,0.95,0.00,-0.20,-0.00,-0.13,-0.05,-0.02,0.01,1012.80
0.254,0.26,0.95,0.00,-0.15,0.11,0.01,-0.05,-0.02,0.01,1012.80
0.255,0.26,0.95,0.00,-0.15,0.11,0.01,-0.05,-0.02,0.01,1012.80
0.269,0.30,0.95,0.00,-0.15,0.11,0.01,-0.05,-0.02,0.01,1012.80
0.288,0.30,0.95,0.01,-0.15,0.11,0.01,-0.05,-0.02,0.01,1012.80
0.289,0.30,0.95,0.01,-0.15,0.11,0.01,-0.05,0.01,0.02,1012.80
0.29,0.30,0.95,0.01,-0.15,0.11,-0.01,-0.05,0.01,0.02,1012.80
0.308,0.28,0.95,0.02,-0.15,0.11,-0.01,-0.05,0.01,0.02,1012.80
0.315,0.28,0.95,0.02,-0.15,0.11,-0.01,-0.05,0.01,0.02,1012.80
0.328,0.28,0.96,0.03,-0.15,0.11,-0.01,-0.05,0.01,0.02,1012.80
0.329,0.28,0.96,0.03,-0.15,0.11,-0.01,-0.05,-0.02,-0.00,1012.80
0.33,0.28,0.96,0.03,0.03,-0.00,0.08,-0.05,-0.02,-0.00,1012.80
0.348,0.30,0.95,0.01,0.03,-0.00,0.08,-0.05,-0.02,-0.00,1012.80
0.371,0.28,0.92,0.01,0.03,-0.00,0.08,-0.05,-0.02,-0.00,1012.80
0.373,0.28,0.92,0.01,0.03,-0.00,0.08,-0.02,0.01,-0.03,1012.80
0.374,0.28,0.92,0.01,-0.00,-0.01,0.10,-0.02,0.01,-0.03,1012.80
0.401,0.28,0.92,0.01,-0.00,-0.01,0.10,-0.02,0.01,-0.03,1012.79
0.403,0.27,0.96,0.01,-0.00,-0.01,0.10,-0.02,0.01,-0.03,1012.79
0.412,0.30,0.95,-0.01,-0.00,-0.01,0.10,-0.02,0.01,-0.03,1012.79
0.415,0.30,0.95,-0.01,-0.00,-0.01,0.10,-0.02,0.02,-0.02,1012.79
0.416,0.30,0.95,-0.01,0.01,-0.01,0.09,-0.02,0.02,-0.02,1012.79
0.434,0.38,0.92,0.02,0.01,-0.01,0.09,-0.02,0.02,-0.02,1012.79
0.436,0.38,0.92,0.02,0.01,-0.01,0.09,-0.02,0.02,-0.02,1012.81
0.447,0.46,0.94,0.07,0.01,-0.01,0.09,-0.02,0.02,-0.02,1012.81
0.448,0.46,0.94,0.07,0.29,-0.05,0.02,-0.02,0.02,-0.02,1012.81
0.448,0.46,0.94,0.07,0.29,-0.05,0.02,-0.02,-0.02,-0.04,1012.81
0.466,0.36,0.95,0.19,0.29,-0.05,0.02,-0.02,-0.02,-0.04,1012.81
0.485,0.34,0.97,0.29,0.29,-0.05,0.02,-0.02,-0.02,-0.04,1012.81
0.486,0.34,0.97,0.29,0.29,-0.05,0.02,0.15,0.30,-0.21,1012.81
0.486,0.34,0.97,0.29,1.05,0.04,1.74,0.15,0.30,-0.21,1012.81
0.494,0.34,0.97,0.29,1.05,0.04,1.74,0.15,0.30,-0.21,1012.81
0.506,0.26,1.02,0.19,1.05,0.04,1.74,0.15,0.30,-0.21,1012.81
0.532,0.16,1.04,0.06,1.05,0.04,1.74,0.15,0.30,-0.21,1012.81
0.533,0.16,1.04,0.06,1.05,0.04,1.74,0.50,0.62,-0.47,1012.81
0.534,0.16,1.04,0.06,1.20,-0.01,1.83,0.50,0.62,-0.47,1012.81
0.551,0.16,0.95,-0.01,1.20,-0.01,1.83,0.50,0.62,-0.47,1012.81
0.555,0.16,0.95,-0.01,1.20,-0.01,1.83,0.50,0.62,-0.47,1012.80
0.57,0.44,0.97,-0.04,1.20,-0.01,1.83,0.50,0.62,-0.47,1012.80
0.572,0.44,0.97,-0.04,1.20,-0.01,1.83,0.69,0.28,-0.46,1012.80
0.573,0.44,0.97,-0.04,-0.53,0.42,1.01,0.69,0.28,-0.46,1012.80
0.584,0.41,1.00,-0.09,-0.53,0.42,1.01,0.69,0.28,-0.46,1012.80
0.605,0.08,0.94,-0.19,-0.53,0.42,1.01,0.69,0.28,-0.46,1012.80
0.606,0.08,0.94,-0.19,-0.53,0.42,1.01,0.68,0.36,-0.51,1012.80
0.606,0.08,0.94,-0.19,0.78,0.07,-0.54,0.68,0.36,-0.51,1012.80
0.615,0.08,0.94,-0.19,0.78,0.07,-0.54,0.68,0.36,-0.51,1012.79
0.626,0.11,0.97,-0.21,0.78,0.07,-0.54,0.68,0.36,-0.51,1012.79
0.644,0.19,0.91,-0.28,0.78,0.07,-0.54,0.68,0.36,-0.51,1012.79
0.646,0.19,0.91,-0.28,0.78,0.07,-0.54,0.69,0.42,-0.57,1012.79
