time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.005,-0.14,0.99,0.01,0.09,0.05,0.01,-0.05,0.04,0.01,1012.91
0.006,-0.13,1.02,0.03,0.09,0.05,0.01,-0.05,0.04,0.01,1012.91
0.007,-0.14,0.99,0.03,0.09,0.05,0.01,-0.05,0.04,0.01,1012.91
0.008,-0.14,0.99,0.03,0.09,0.05,0.01,-0.05,0.05,-0.00,1012.91
0.008,-0.14,0.99,0.03,-0.15,0.02,-0.02,-0.05,0.05,-0.00,1012.91
0.029,-0.11,1.00,0.03,-0.15,0.02,-0.02,-0.05,0.05,-0.00,1012.91
0.039,-0.11,1.00,0.03,-0.15,0.02,-0.02,-0.05,0.05,-0.00,1012.90
0.046,-0.11,1.01,0.03,-0.15,0.02,-0.02,-0.05,0.05,-0.00,1012.90
0.05,-0.11,1.01,0.03,-0.15,0.02,-0.02,-0.05,0.04,0.02,1012.90
0.051,-0.11,1.01,0.03,-0.14,0.02,-0.04,-0.05,0.04,0.02,1012.90
0.066,-0.12,1.00,0.01,-0.14,0.02,-0.04,-0.05,0.04,0.02,1012.90
0.087,-0.14,1.00,0.02,-0.14,0.02,-0.04,-0.05,0.04,0.02,1012.90
0.087,-0.14,1.00,0.02,-0.14,0.02,-0.04,-0.05,0.04,0.02,1012.90
0.088,-0.14,1.00,0.02,0.09,0.03,-0.04,-0.05,0.04,0.02,1012.90
0.098,-0.14,1.00,0.02,0.09,0.03,-0.04,-0.05,0.04,0.02,1012.89
0.106,-0.12,1.00,0.03,0.09,0.03,-0.04,-0.05,0.04,0.02,1012.89
0.131,-0.11,1.00,0.03,0.09,0.03,-0.04,-0.05,0.04,0.02,1012.89
0.132,-0.11,1.00,0.03,0.09,0.03,-0.04,-0.06,0.04,0.03,1012.89
0.133,-0.11,1.00,0.03,-0.02,-0.02,-0.03,-0.06,0.04,0.03,1012.89
0.147,-0.11,1.00,0.03,-0.02,-0.02,-0.03,-0.06,0.04,0.03,1012.89
0.158,-0.11,1.00,0.03,-0.02,-0.02,-0.03,-0.06,0.04,0.03,1012.89
0.165,-0.12,1.00,0.03,-0.02,-0.02,-0.03,-0.06,0.04,0.03,1012.89
0.166,-0.12,1.00,0.03,-0.02,-0.02,-0.03,-0.07,0.07,0.02,1012.89
0.167,-0.12,1.00,0.03,-0.03,-0.02,-0.05,-0.07,0.07,0.02,1012.89
0.185,-0.14,1.00,0.03,-0.03,-0.02,-0.05,-0.07,0.07,0.02,1012.89
0.218,-0.13,0.98,0.03,-0.03,-0.02,-0.05,-0.07,0.07,0.02,1012.89
0.22,-0.13,0.98,0.03,-0.03,-0.02,-0.05,-0.07,0.07,0.02,1012.89
0.221,-0.13,0.98,0.03,0.01,0.01,-0.04,-0.07,0.07,0.02,1012.89
0.223,-0.13,0.98,0.03,0.01,0.01,-0.04,-0.07,0.07,0.02,1012.91
0.251,-0.11,0.98,0.04,0.01,0.01,-0.04,-0.07,0.07,0.02,1012.91
0.253,-0.14,1.00,0.04,0.01,0.01,-0.04,-0.07,0.07,0.02,1012.91
0.253,-0.14,1.00,0.04,0.01,0.01,-0.04,-0.08,0.06,0.04,1012.91
0.254,-0.14,1.00,0.04,-0.06,-0.08,0.00,-0.08,0.06,0.04,1012.91
0.264,-0.14,1.00,0.05,-0.06,-0.08,0.00,-0.08,0.06,0.04,1012.91
0.278,-0.14,1.00,0.05,-0.06,-0.08,0.00,-0.08,0.06,0.04,1012.92
0.284,-0.12,1.01,0.05,-0.06,-0.08,0.00,-0.08,0.06,0.04,1012.92
0.284,-0.12,1.01,0.05,-0.06,-0.08,0.00,-0.08,0.06,0.07,1012.92
