time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.026,0.36,0.93,-0.06,-0.47,0.11,-0.01,-0.04,-0.06,0.01,1012.85
0.027,0.36,0.93,-0.06,-0.47,0.11,-0.01,-0.06,-0.18,0.07,1012.85
0.028,0.36,0.93,-0.06,0.25,-0.04,-0.06,-0.06,-0.18,0.07,1012.85
0.031,0.36,0.93,-0.06,0.25,-0.04,-0.06,-0.06,-0.18,0.07,1012.85
0.061,0.37,0.92,-0.05,0.25,-0.04,-0.06,-0.06,-0.18,0.07,1012.85
0.062,0.37,0.92,-0.05,0.25,-0.04,-0.06,-0.05,-0.06,0.01,1012.85
0.063,0.37,0.92,-0.05,0.30,-0.11,-0.04,-0.05,-0.06,0.01,1012.85
0.088,0.37,0.92,-0.05,0.30,-0.11,-0.04,-0.05,-0.06,0.01,1012.84
0.101,0.31,0.95,-0.07,0.30,-0.11,-0.04,-0.05,-0.06,0.01,1012.84
0.103,0.31,0.95,-0.07,0.30,-0.11,-0.04,-0.04,0.04,-0.05,1012.84
0.104,0.31,0.95,-0.07,-0.22,0.19,-0.23,-0.04,0.04,-0.05,1012.84
0.17,0.31,0.95,-0.07,-0.12,-0.11,-0.13,-0.04,0.04,-0.05,1012.84
0.173,0.32,0.92,-0.06,-0.12,-0.11,-0.13,-0.04,0.04,-0.05,1012.84
0.176,0.32,0.92,-0.06,-0.12,-0.11,-0.13,-0.07,-0.06,-0.03,1012.84
0.177,0.32,0.92,-0.06,-0.12,-0.11,-0.13,-0.07,-0.06,-0.03,1012.82
0.18,0.33,0.94,-0.06,-0.12,-0.11,-0.13,-0.07,-0.06,-0.03,1012.82
0.182,0.33,0.94,-0.06,-0.12,-0.11,-0.13,-0.08,-0.08,-0.04,1012.82
0.182,0.33,0.94,-0.06,-0.06,0.01,-0.13,-0.08,-0.08,-0.04,1012.82
0.208,0.33,0.94,-0.06,-0.06,0.01,-0.13,-0.08,-0.08,-0.04,1012.83
0.22,0.35,0.92,-0.05,-0.06,0.01,-0.13,-0.08,-0.08,-0.04,1012.83
0.22,0.35,0.92,-0.05,-0.06,0.01,-0.13,-0.08,-0.12,-0.06,1012.83
0.221,0.35,0.92,-0.05,0.20,-0.17,-0.06,-0.08,-0.12,-0.06,1012.83
0.26,0.39,0.93,-0.05,0.20,-0.17,-0.06,-0.08,-0.12,-0.06,1012.83
0.261,0.39,0.93,-0.05,0.20,-0.17,-0.06,-0.04,-0.21,-0.15,1012.83
0.262,0.39,0.93,-0.05,0.57,-0.06,-0.04,-0.04,-0.21,-0.15,1012.83
0.269,0.39,0.93,-0.05,0.57,-0.06,-0.04,-0.04,-0.21,-0.15,1012.83
0.299,0.50,0.93,0.07,0.57,-0.06,-0.04,-0.04,-0.21,-0.15,1012.83
0.301,0.50,0.93,0.07,0.57,-0.06,-0.04,0.05,-0.18,-0.28,1012.83
0.301,0.50,0.93,0.07,1.81,-0.14,1.17,0.05,-0.18,-0.28,1012.83
0.333,0.50,0.93,0.07,1.81,-0.14,1.17,0.05,-0.18,-0.28,1012.83
0.343,0.43,0.87,0.12,1.81,-0.14,1.17,0.05,-0.18,-0.28,1012.83
0.346,0.43,0.87,0.12,1.81,-0.14,1.17,0.23,0.14,-0.51,1012.83
0.347,0.43,0.87,0.12,1.24,-0.69,1.71,0.23,0.14,-0.51,1012.83
0.385,0.13,0.92,0.01,1.24,-0.69,1.71,0.23,0.14,-0.51,1012.83
0.389,0.13,0.92,0.01,1.24,-0.69,1.71,0.37,0.12,-0.62,1012.83
0.391,0.13,0.92,0.01,-1.43,-0.31,0.73,0.37,0.12,-0.62,1012.83
0.393,0.13,0.92,0.01,-1.43,-0.31,0.73,0.37,0.12,-0.62,1012.84
0.419,0.04,0.94,-0.08,-1.43,-0.31,0.73,0.37,0.12,-0.62,1012.84
0.426,0.04,0.94,-0.08,-1.43,-0.31,0.73,0.40,-0.33,-0.40,1012.84
0.428,0.04,0.94,-0.08,-2.15,-0.10,0.00,0.40,-0.33,-0.40,1012.84
0.476,0.04,0.94,-0.08,-2.15,-0.10,0.00,0.40,-0.33,-0.40,1012.86
0.48,0.17,0.91,-0.09,-2.15,-0.10,0.00,0.40,-0.33,-0.40,1012.86
0.481,0.17,0.91,-0.09,-2.15,-0.10,0.00,0.42,-0.42,-0.14,1012.86
0.482,0.17,0.91,-0.09,-0.82,-0.43,0.08,0.42,-0.42,-0.14,1012.86
0.494,0.06,0.97,-0.14,-0.82,-0.43,0.08,0.42,-0.42,-0.14,1012.86
0.496,0.06,0.97,-0.14,-0.82,-0.43,0.08,0.44,-0.42,-0.02,1012.86
0.496,0.06,0.97,-0.14,-1.78,0.18,-0.16,0.44,-0.42,-0.02,1012.86
0.508,0.06,0.97,-0.14,-1.78,0.18,-0.16,0.44,-0.42,-0.02,1012.87
0.537,0.17,1.05,-0.28,-1.78,0.18,-0.16,0.44,-0.42,-0.02,1012.87
0.539,0.17,1.05,-0.28,-1.78,0.18,-0.16,0.44,-0.80,0.15,1012.87
0.541,0.17,1.05,-0.28,-0.72,0.95,-1.35,0.44,-0.80,0.15,1012.87
0.569,0.17,1.05,-0.28,-0.72,0.95,-1.35,0.44,-0.80,0.15,1012.86
0.577,0.17,1.05,-0.28,1.34,0.12,-0.67,0.44,-0.80,0.15,1012.86
0.579,0.38,0.96,-0.24,1.34,0.12,-0.67,0.44,-0.80,0.15,1012.86
0.58,0.38,0.96,-0.24,1.34,0.12,-0.67,0.35,-0.63,0.12,1012.86
0.616,0.27,1.05,-0.13,1.34,0.12,-0.67,0.35,-0.63,0.12,1012.86
0.618,0.27,1.05,-0.13,1.34,0.12,-0.67,0.36,-0.19,-0.04,1012.86
0.619,0.27,1.05,-0.13,0.26,1.04,0.56,0.36,-0.19,-0.04,1012.86
0.629,0.27,1.05,-0.13,0.26,1.04,0.56,0.36,-0.19,-0.04,1012.86
0.657,0.37,0.98,-0.31,0.26,1.04,0.56,0.36,-0.19,-0.04,1012.86
0.658,0.37,0.98,-0.31,1.26,0.36,-1.10,0.36,-0.19,-0.04,1012.86
0.659,0.37,0.98,-0.31,1.26,0.36,-1.10,0.39,-0.06,-0.08,1012.86
0.688,0.37,0.98,-0.31,1.26,0.36,-1.10,0.39,-0.06,-0.08,1012.86
0.696,0.37,0.98,-0.31,-0.24,-0.15,-0.98,0.39,-0.06,-0.08,1012.86
0.698,0.21,0.93,-0.31,-0.24,-0.15,-0.98,0.39,-0.06,-0.08,1012.86
0.698,0.21,0.93,-0.31,-0.24,-0.15,-0.98,0.26,0.27,-0.24,1012.86
0.766,0.06,0.93,-0.21,-0.24,-0.15,-0.98,0.26,0.27,-0.24,1012.86
0.767,0.06,0.93,-0.21,-0.24,-0.15,-0.98,0.16,0.23,-0.22,1012.86
0.768,0.06,0.93,-0.21,-1.67,-0.18,-0.01,0.16,0.23,-0.22,1012.86
0.769,0.06,0.93,-0.21,-1.67,-0.18,-0.01,0.16,0.23,-0.22,1012.87
