time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.005,-0.09,1.00,0.04,0.02,-0.06,-0.05,-0.16,0.28,-0.08,1012.86
0.006,-0.09,1.00,0.04,0.02,-0.06,-0.05,-0.08,0.15,-0.05,1012.86
0.007,-0.09,1.00,0.04,0.26,0.08,0.01,-0.08,0.15,-0.05,1012.86
0.029,-0.09,1.00,0.04,0.26,0.08,0.01,-0.08,0.15,-0.05,1012.85
0.03,-0.25,0.98,0.06,0.26,0.08,0.01,-0.08,0.15,-0.05,1012.85
0.031,-0.25,0.98,0.06,0.26,0.08,0.01,-0.07,0.26,-0.12,1012.85
0.031,-0.25,0.98,0.06,-1.16,-0.09,0.20,-0.07,0.26,-0.12,1012.85
0.067,-0.29,1.00,0.08,-1.16,-0.09,0.20,-0.07,0.26,-0.12,1012.85
0.068,-0.29,1.00,0.08,-1.16,-0.09,0.20,-0.13,0.19,0.08,1012.85
0.069,-0.29,1.00,0.08,-1.56,0.03,0.30,-0.13,0.19,0.08,1012.85
0.084,-0.29,1.00,0.08,-1.56,0.03,0.30,-0.13,0.19,0.08,1012.85
0.106,-0.10,1.03,0.11,-1.56,0.03,0.30,-0.13,0.19,0.08,1012.85
0.107,-0.10,1.03,0.11,0.17,0.32,0.52,-0.13,0.19,0.08,1012.85
0.108,-0.10,1.03,0.11,0.17,0.32,0.52,-0.10,-0.04,0.23,1012.85
0.147,-0.10,1.03,0.11,0.17,0.32,0.52,-0.10,-0.04,0.23,1012.85
0.148,-0.17,0.95,0.05,0.17,0.32,0.52,-0.10,-0.04,0.23,1012.85
0.149,-0.17,0.95,0.05,0.17,0.32,0.52,-0.03,0.17,0.28,1012.85
0.149,-0.17,0.95,0.05,-0.60,-0.50,-0.07,-0.03,0.17,0.28,1012.85
0.192,-0.07,1.02,0.03,-0.60,-0.50,-0.07,-0.03,0.17,0.28,1012.85
0.193,-0.07,1.02,0.03,-0.60,-0.50,-0.07,-0.03,0.04,0.40,1012.85
0.193,-0.07,1.02,0.03,0.20,0.19,-0.22,-0.03,0.04,0.40,1012.85
0.207,-0.07,1.02,0.03,0.20,0.19,-0.22,-0.03,0.04,0.40,1012.85
0.232,-0.02,0.99,0.09,0.20,0.19,-0.22,-0.03,0.04,0.40,1012.85
0.234,-0.02,0.99,0.09,0.20,0.19,-0.22,-0.06,0.19,0.34,1012.85
0.234,-0.02,0.99,0.09,0.61,-0.07,0.37,-0.06,0.19,0.34,1012.85
0.263,-0.10,1.04,0.05,0.61,-0.07,0.37,-0.06,0.19,0.34,1012.85
0.264,-0.10,1.04,0.05,0.61,-0.07,0.37,-0.03,0.49,0.30,1012.85
0.264,-0.10,1.04,0.05,-0.34,0.35,-0.09,-0.03,0.49,0.30,1012.85
0.265,-0.10,1.04,0.05,-0.34,0.35,-0.09,-0.03,0.49,0.30,1012.86
0.32,-0.25,0.91,0.13,-0.34,0.35,-0.09,-0.03,0.49,0.30,1012.86
0.323,-0.25,0.91,0.13,-0.34,0.35,-0.09,-0.02,0.31,0.31,1012.86
0.325,-0.25,0.91,0.13,-1.84,-0.89,0.75,-0.02,0.31,0.31,1012.86
0.327,-0.25,0.91,0.13,-1.84,-0.89,0.75,-0.02,0.31,0.31,1012.86
0.353,0.06,1.06,0.18,-1.84,-0.89,0.75,-0.02,0.31,0.31,1012.86
0.355,0.06,1.06,0.18,-1.84,-0.89,0.75,0.13,-0.12,0.49,1012.86
0.356,0.06,1.06,0.18,0.97,0.56,1.20,0.13,-0.12,0.49,1012.86
0.383,-0.07,1.05,0.11,0.97,0.56,1.20,0.13,-0.12,0.49,1012.86
0.384,-0.07,1.05,0.11,-0.44,0.50,0.62,0.13,-0.12,0.49,1012.86
0.385,-0.07,1.05,0.11,-0.44,0.50,0.62,0.28,-0.19,0.42,1012.86
0.385,-0.07,1.05,0.11,-0.44,0.50,0.62,0.28,-0.19,0.42,1012.85
0.468,0.15,1.12,0.03,-0.44,0.50,0.62,0.28,-0.19,0.42,1012.85
0.469,0.15,1.12,0.03,-0.44,0.50,0.62,0.36,-0.95,0.41,1012.85
0.47,0.15,1.12,0.03,1.52,1.11,0.03,0.36,-0.95,0.41,1012.85
0.471,0.15,1.12,0.03,1.52,1.11,0.03,0.36,-0.95,0.41,1012.85
0.472,0.43,1.40,-0.07,1.52,1.11,0.03,0.36,-0.95,0.41,1012.85
0.472,0.43,1.40,-0.07,1.52,1.11,0.03,0.38,-0.98,0.17,1012.85
0.473,0.43,1.40,-0.07,4.09,3.79,-0.78,0.38,-0.98,0.17,1012.85
0.504,0.71,1.62,0.08,4.09,3.79,-0.78,0.38,-0.98,0.17,1012.85
0.506,0.71,1.62,0.08,4.09,3.79,-0.78,0.28,-0.22,-0.40,1012.85
0.508,0.71,1.62,0.08,6.91,5.80,0.71,0.28,-0.22,-0.40,1012.85
0.509,0.71,1.62,0.08,6.91,5.80,0.71,0.28,-0.22,-0.40,1012.85
0.541,0.02,1.94,-0.42,6.91,5.80,0.71,0.28,-0.22,-0.40,1012.85
0.543,0.02,1.94,-0.42,6.91,5.80,0.71,1.00,0.12,-2.16,1012.85
0.545,0.02,1.94,-0.42,0.92,8.83,-3.69,1.00,0.12,-2.16,1012.85
0.564,0.02,1.94,-0.42,0.92,8.83,-3.69,1.00,0.12,-2.16,1012.86
0.583,-0.18,1.63,-0.21,0.92,8.83,-3.69,1.00,0.12,-2.16,1012.86
0.585,-0.18,1.63,-0.21,0.92,8.83,-3.69,1.20,-0.91,-3.33,1012.86
