time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,-0.09,1.00,0.06,-0.09,0.09,0.38,0.04,0.13,0.07,1012.87
0.007,-0.09,1.00,0.06,-0.11,0.09,0.40,0.04,0.13,0.07,1012.87
0.01,-0.09,1.00,0.06,-0.11,0.09,0.40,0.04,0.13,0.07,1012.87
0.031,-0.10,1.00,0.03,-0.11,0.09,0.40,0.04,0.13,0.07,1012.87
0.046,-0.10,1.00,0.03,-0.11,0.09,0.40,0.03,0.07,0.16,1012.87
0.047,-0.10,1.00,0.03,-0.26,-0.01,0.17,0.03,0.07,0.16,1012.87
0.069,-0.10,1.00,0.03,-0.26,-0.01,0.17,0.03,0.07,0.16,1012.87
0.081,-0.10,1.00,0.03,-0.26,-0.01,0.17,0.01,-0.05,0.10,1012.87
0.082,-0.10,0.99,0.01,-0.26,-0.01,0.17,0.01,-0.05,0.10,1012.87
0.082,-0.10,0.99,0.01,-0.29,-0.04,-0.03,0.01,-0.05,0.10,1012.87
0.123,-0.10,0.99,0.01,-0.29,-0.04,-0.03,0.01,-0.05,0.10,1012.87
0.124,-0.10,0.99,0.01,-0.29,-0.04,-0.03,-0.01,-0.09,-0.00,1012.87
0.13,-0.10,0.99,0.01,-0.29,-0.04,-0.03,-0.01,-0.09,-0.00,1012.86
0.147,-0.06,1.01,0.01,-0.29,-0.04,-0.03,-0.01,-0.09,-0.00,1012.86
0.161,-0.06,1.01,0.01,-0.29,-0.04,-0.03,-0.03,0.02,0.00,1012.86
0.162,-0.06,1.01,0.01,0.14,0.11,-0.09,-0.03,0.02,0.00,1012.86
0.204,-0.06,1.01,0.01,0.14,0.11,-0.09,-0.03,0.02,0.00,1012.86
0.206,-0.06,1.01,0.01,0.14,0.11,-0.09,-0.04,0.05,-0.03,1012.86
0.208,-0.07,1.00,0.02,0.14,0.11,-0.09,-0.04,0.05,-0.03,1012.86
0.21,-0.07,1.00,0.02,0.01,0.02,0.08,-0.04,0.05,-0.03,1012.86
0.247,-0.07,1.00,0.02,0.01,0.02,0.08,-0.02,0.05,-0.05,1012.86
0.25,-0.07,1.00,0.02,0.03,0.02,0.07,-0.02,0.05,-0.05,1012.86
0.251,-0.07,1.00,0.02,0.03,0.02,0.07,-0.02,0.05,-0.05,1012.88
0.259,-0.07,1.01,0.03,0.03,0.02,0.07,-0.02,0.05,-0.05,1012.88
0.28,-0.07,1.01,0.03,0.03,0.02,0.07,-0.02,0.04,-0.02,1012.88
0.281,-0.07,1.01,0.03,0.06,0.09,0.08,-0.02,0.04,-0.02,1012.88
0.341,-0.07,1.01,0.03,0.06,0.09,0.08,-0.02,0.04,-0.02,1012.89
0.344,-0.07,1.01,0.03,0.06,0.09,0.08,-0.03,0.02,-0.02,1012.89
0.346,-0.09,1.00,0.02,0.06,0.09,0.08,-0.03,0.02,-0.02,1012.89
0.348,-0.09,1.00,0.02,-0.11,-0.01,0.01,-0.03,0.02,-0.02,1012.89
0.372,-0.09,1.00,0.02,-0.11,-0.01,0.01,-0.04,0.05,-0.04,1012.89
0.374,-0.09,1.00,0.02,-0.09,-0.01,0.00,-0.04,0.05,-0.04,1012.89
0.375,-0.09,1.00,0.02,-0.09,-0.01,0.00,-0.04,0.05,-0.04,1012.90
0.378,-0.07,1.00,0.03,-0.09,-0.01,0.00,-0.04,0.05,-0.04,1012.90
0.398,-0.07,1.00,0.03,-0.09,-0.01,0.00,-0.03,0.08,-0.03,1012.90
0.4,-0.07,1.00,0.03,0.08,0.06,0.05,-0.03,0.08,-0.03,1012.90
0.43,-0.07,1.00,0.03,0.08,0.06,0.05,-0.03,0.08,-0.03,1012.91
0.437,-0.07,1.00,0.03,0.08,0.06,0.05,-0.01,0.06,-0.03,1012.91
0.438,-0.07,1.00,0.03,-0.11,0.03,0.16,-0.01,0.06,-0.03,1012.91
0.439,-0.09,1.00,0.04,-0.11,0.03,0.16,-0.01,0.06,-0.03,1012.91
0.478,-0.09,1.00,0.04,-0.09,0.03,0.14,-0.01,0.06,-0.03,1012.91
0.48,-0.09,1.00,0.04,-0.09,0.03,0.14,-0.00,-0.05,-0.04,1012.91
0.494,-0.09,1.00,0.04,-0.09,0.03,0.14,-0.00,-0.05,-0.04,1012.91
0.499,-0.11,0.98,0.04,-0.09,0.03,0.14,-0.00,-0.05,-0.04,1012.91
0.517,-0.11,0.98,0.04,-0.09,0.03,0.14,-0.03,-0.11,-0.02,1012.91
0.518,-0.11,0.98,0.04,-0.26,-0.14,0.10,-0.03,-0.11,-0.02,1012.91
0.55,-0.11,0.98,0.04,-0.26,-0.14,0.10,-0.03,-0.11,-0.02,1012.91
0.556,-0.11,0.98,0.04,-0.26,-0.14,0.10,-0.02,-0.07,0.04,1012.91
0.558,-0.12,1.00,0.04,-0.26,-0.14,0.10,-0.02,-0.07,0.04,1012.91
0.558,-0.12,1.00,0.04,-0.35,0.04,0.13,-0.02,-0.07,0.04,1012.91
0.602,-0.12,1.00,0.04,-0.35,0.04,0.13,0.01,-0.05,0.12,1012.91
0.603,-0.12,1.00,0.04,-0.39,0.04,0.13,0.01,-0.05,0.12,1012.91
0.609,-0.12,1.00,0.04,-0.39,0.04,0.13,0.01,-0.05,0.12,1012.91
0.617,-0.09,1.00,0.03,-0.39,0.04,0.13,0.01,-0.05,0.12,1012.91
0.646,-0.09,1.00,0.03,-0.39,0.04,0.13,0.03,-0.01,0.15,1012.91
0.647,-0.09,1.00,0.03,-0.16,0.04,0.04,0.03,-0.01,0.15,1012.91
0.669,-0.09,1.00,0.03,-0.16,0.04,0.04,0.03,-0.01,0.15,1012.89
0.677,-0.09,1.00,0.03,-0.25,0.06,-0.13,0.03,-0.01,0.15,1012.89
0.679,-0.09,1.00,0.03,-0.25,0.06,-0.13,0.05,-0.15,0.24,1012.89
0.679,-0.09,1.01,0.01,-0.25,0.06,-0.13,0.05,-0.15,0.24,1012.89
0.725,-0.09,1.01,0.01,-0.25,0.06,-0.13,0.06,-0.25,0.23,1012.89
0.728,-0.09,1.01,0.01,-0.34,0.05,-0.11,0.06,-0.25,0.23,1012.89
0.73,-0.09,1.01,0.01,-0.34,0.05,-0.11,0.06,-0.25,0.23,1012.88
0.735,-0.09,1.00,0.01,-0.34,0.05,-0.11,0.06,-0.25,0.23,1012.88
0.755,-0.09,1.00,0.01,-0.34,0.05,-0.11,0.03,0.00,0.14,1012.88
0.759,-0.09,1.00,0.01,-0.35,0.01,-0.10,0.03,0.00,0.14,1012.88
0.792,-0.09,1.00,0.01,-0.35,0.01,-0.10,0.03,0.00,0.14,1012.88
0.795,-0.09,1.00,0.01,-0.35,0.01,-0.10,0.08,0.16,0.07,1012.88
0.798,-0.00,1.00,0.04,-0.35,0.01,-0.10,0.08,0.16,0.07,1012.88
0.8,-0.00,1.00,0.04,0.44,0.01,0.23,0.08,0.16,0.07,1012.88
0.838,-0.00,1.00,0.04,0.45,0.01,0.27,0.08,0.16,0.07,1012.88
0.84,-0.00,1.00,0.04,0.45,0.01,0.27,0.11,0.21,-0.04,1012.88
0.848,-0.00,1.00,0.04,0.45,0.01,0.27,0.11,0.21,-0.04,1012.88
0.854,-0.02,0.99,0.04,0.45,0.01,0.27,0.11,0.21,-0.04,1012.88
0.872,-0.02,0.99,0.04,0.45,0.01,0.27,0.16,0.02,-0.14,1012.88
0.873,-0.02,0.99,0.04,0.36,-0.07,0.31,0.16,0.02,-0.14,1012.88
0.908,-0.02,0.99,0.04,0.36,-0.07,0.31,0.16,0.02,-0.14,1012.88
0.911,-0.02,0.99,0.04,0.36,-0.07,0.31,0.03,0.24,-0.11,1012.88
0.912,-0.03,0.96,-0.06,0.36,-0.07,0.31,0.03,0.24,-0.11,1012.88
0.913,-0.03,0.96,-0.06,0.33,-0.39,-0.66,0.03,0.24,-0.11,1012.88
0.952,-0.03,0.96,-0.06,0.33,-0.39,-0.66,-0.16,0.55,-0.29,1012.88
0.955,-0.03,0.96,-0.06,0.44,-0.37,-0.70,-0.16,0.55,-0.29,1012.88
0.969,-0.03,0.96,-0.06,0.44,-0.37,-0.70,-0.16,0.55,-0.29,1012.88
0.972,0.12,1.05,-0.03,0.44,-0.37,-0.70,-0.16,0.55,-0.29,1012.88
0.992,0.12,1.05,-0.03,0.44,-0.37,-0.70,-0.16,0.48,-0.48,1012.88
0.995,0.12,1.05,-0.03,2.05,0.48,-0.40,-0.16,0.48,-0.48,1012.88
1.036,0.12,1.05,-0.03,2.05,0.48,-0.40,-0.16,0.48,-0.48,1012.88
1.038,0.12,1.05,-0.03,-0.44,0.43,-0.00,-0.16,0.48,-0.48,1012.88
1.039,0.12,1.05,-0.03,-0.44,0.43,-0.00,-0.11,0.38,-0.46,1012.88
1.039,-0.15,1.04,0.02,-0.44,0.43,-0.00,-0.11,0.38,-0.46,1012.88
1.093,-0.15,1.04,0.02,-0.44,0.43,-0.00,-0.02,0.30,-0.29,1012.88
1.095,-0.15,1.04,0.02,-0.32,0.43,0.00,-0.02,0.30,-0.29,1012.88
1.095,-0.15,1.04,0.02,-0.32,0.43,0.00,-0.02,0.30,-0.29,1012.88
1.097,-0.23,1.01,0.09,-0.32,0.43,0.00,-0.02,0.30,-0.29,1012.88
1.111,-0.23,1.01,0.09,-1.01,0.14,0.75,-0.02,0.30,-0.29,1012.88
1.115,-0.23,1.01,0.09,-1.01,0.14,0.75,-0.01,0.37,-0.16,1012.88
1.149,-0.23,1.01,0.09,-1.01,0.14,0.75,-0.01,0.37,-0.16,1012.89
1.152,-0.23,1.01,0.09,-1.01,0.14,0.75,-0.05,0.34,-0.06,1012.89
1.154,-0.22,1.00,0.01,-1.01,0.14,0.75,-0.05,0.34,-0.06,1012.89
1.155,-0.22,1.00,0.01,-0.86,0.06,-0.10,-0.05,0.34,-0.06,1012.89
1.188,-0.22,1.00,0.01,-0.86,0.06,-0.10,-0.00,0.13,-0.02,1012.89
1.19,-0.22,1.00,0.01,-0.84,0.06,-0.09,-0.00,0.13,-0.02,1012.89
1.208,-0.12,1.05,0.05,-0.84,0.06,-0.09,-0.00,0.13,-0.02,1012.89
1.209,-0.12,1.05,0.05,-0.84,0.06,-0.09,-0.00,0.13,-0.02,1012.88
1.23,-0.12,1.05,0.05,-0.84,0.06,-0.09,-0.02,0.19,-0.11,1012.88
1.234,-0.12,1.05,0.05,0.12,0.51,0.31,-0.02,0.19,-0.11,1012.88
1.267,-0.12,1.05,0.05,0.12,0.51,0.31,-0.06,0.41,-0.25,1012.88
1.27,-0.12,1.05,0.05,0.12,0.51,0.31,-0.06,0.41,-0.25,1012.88
1.271,-0.09,0.98,0.04,0.12,0.51,0.31,-0.06,0.41,-0.25,1012.88
1.272,-0.09,0.98,0.04,0.51,-0.12,0.25,-0.06,0.41,-0.25,1012.88
1.309,-0.09,0.98,0.04,0.51,-0.12,0.25,-0.01,0.86,-0.43,1012.88
1.313,-0.09,0.98,0.04,0.67,-0.09,0.29,-0.01,0.86,-0.43,1012.88
1.338,0.11,0.97,-0.09,0.67,-0.09,0.29,-0.01,0.86,-0.43,1012.88
1.34,0.11,0.97,-0.09,0.67,-0.09,0.29,-0.01,0.86,-0.43,1012.88
1.398,0.11,0.97,-0.09,0.67,-0.09,0.29,0.08,0.96,-0.60,1012.88
1.401,0.11,0.97,-0.09,2.83,-0.11,-0.92,0.08,0.96,-0.60,1012.88
1.404,0.11,0.97,-0.09,2.83,-0.11,-0.92,0.01,1.64,-0.66,1012.88
1.406,0.11,0.97,-0.09,0.53,1.79,-0.27,0.01,1.64,-0.66,1012.88
1.408,-0.15,1.17,-0.04,0.53,1.79,-0.27,0.01,1.64,-0.66,1012.88
1.41,-0.15,1.17,-0.04,0.53,1.79,-0.27,0.01,1.64,-0.66,1012.88
1.441,-0.15,1.17,-0.04,0.53,1.79,-0.27,-0.15,4.04,-1.10,1012.88
1.443,-0.15,1.17,-0.04,0.89,1.85,0.02,-0.15,4.04,-1.10,1012.88
1.447,0.66,1.58,-0.13,0.89,1.85,0.02,-0.15,4.04,-1.10,1012.88
1.448,0.66,1.58,-0.13,0.89,1.85,0.02,-0.15,4.04,-1.10,1012.88
1.473,0.66,1.58,-0.13,0.89,1.85,0.02,0.06,3.49,-1.00,1012.88
