time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.03,0.99,0.11,0.17,0.05,-0.01,0.02,0.04,-0.02,976.72
0.004,-0.03,0.99,0.11,0.17,0.05,-0.01,0.02,-0.03,-0.03,976.72
0.005,-0.03,0.99,0.11,-0.04,-0.08,-0.11,0.02,-0.03,-0.03,976.72
0.008,-0.03,0.99,0.11,-0.04,-0.08,-0.11,0.02,-0.03,-0.03,976.71
0.025,-0.03,1.00,0.10,-0.04,-0.08,-0.11,0.02,-0.03,-0.03,976.71
0.041,-0.08,0.99,0.09,-0.04,-0.08,-0.11,0.02,-0.03,-0.03,976.71
0.042,-0.08,0.99,0.09,-0.04,-0.08,-0.11,0.00,0.04,-0.07,976.71
0.043,-0.08,0.99,0.09,0.32,-0.03,-0.02,0.00,0.04,-0.07,976.71
0.061,-0.15,0.97,0.08,0.32,-0.03,-0.02,0.00,0.04,-0.07,976.71
0.067,-0.15,0.97,0.08,0.32,-0.03,-0.02,0.00,0.04,-0.07,976.69
0.081,-0.10,1.02,0.10,0.32,-0.03,-0.02,0.00,0.04,-0.07,976.69
0.083,-0.10,1.02,0.10,0.32,-0.03,-0.02,-0.01,0.13,-0.09,976.69
0.084,-0.10,1.02,0.10,0.35,-0.02,-0.02,-0.01,0.13,-0.09,976.69
0.101,-0.07,0.99,0.11,0.35,-0.02,-0.02,-0.01,0.13,-0.09,976.69
0.139,-0.07,0.99,0.11,-0.17,-0.01,-0.10,-0.01,0.13,-0.09,976.69
0.141,-0.06,0.98,0.10,-0.17,-0.01,-0.10,-0.01,0.13,-0.09,976.69
0.143,-0.06,0.98,0.10,-0.17,-0.01,-0.10,-0.02,0.08,-0.03,976.69
0.144,-0.06,0.98,0.10,-0.17,-0.01,-0.10,-0.02,0.08,-0.03,976.69
0.169,-0.10,1.00,0.10,-0.17,-0.01,-0.10,-0.02,0.08,-0.03,976.69
0.172,-0.10,1.00,0.09,-0.17,-0.01,-0.10,-0.02,0.08,-0.03,976.69
