time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,-0.07,0.97,0.19,-0.06,-0.05,-0.20,-0.01,0.04,0.02,976.26
0.006,-0.07,0.97,0.19,-0.06,-0.05,-0.20,-0.01,0.04,0.02,976.25
0.013,-0.12,0.97,0.20,-0.06,-0.05,-0.20,-0.01,0.04,0.02,976.25
0.014,-0.12,0.97,0.20,-0.06,-0.05,-0.20,-0.00,0.00,0.01,976.25
0.014,-0.12,0.97,0.20,0.13,0.01,-0.09,-0.00,0.00,0.01,976.25
0.032,-0.11,0.98,0.20,0.13,0.01,-0.09,-0.00,0.00,0.01,976.25
0.054,-0.14,0.98,0.21,0.13,0.01,-0.09,-0.00,0.00,0.01,976.25
0.054,-0.14,0.98,0.21,0.13,0.01,-0.09,-0.02,0.11,-0.00,976.25
0.055,-0.14,0.98,0.21,-0.17,-0.03,0.00,-0.02,0.11,-0.00,976.25
0.066,-0.14,0.98,0.21,-0.17,-0.03,0.00,-0.02,0.11,-0.00,976.24
0.072,-0.09,0.96,0.19,-0.17,-0.03,0.00,-0.02,0.11,-0.00,976.24
0.093,-0.07,0.99,0.19,-0.17,-0.03,0.00,-0.02,0.11,-0.00,976.24
0.094,-0.07,0.99,0.19,-0.17,-0.03,0.00,-0.00,0.03,0.02,976.24
0.094,-0.07,0.99,0.19,-0.17,-0.03,0.00,-0.00,0.03,0.02,976.24
0.113,-0.10,0.98,0.19,-0.17,-0.03,0.00,-0.00,0.03,0.02,976.24
0.127,-0.10,0.98,0.19,-0.17,-0.03,0.00,-0.00,0.03,0.02,976.23
0.131,-0.11,0.98,0.19,-0.17,-0.03,0.00,-0.00,0.03,0.02,976.23
0.132,-0.11,0.98,0.19,-0.17,-0.03,0.00,0.01,0.01,0.00,976.23
0.133,-0.11,0.98,0.19,0.14,-0.04,-0.10,0.01,0.01,0.00,976.23
0.152,-0.10,0.97,0.20,0.14,-0.04,-0.10,0.01,0.01,0.00,976.23
0.177,-0.12,0.97,0.20,0.14,-0.04,-0.10,0.01,0.01,0.00,976.23
0.179,-0.12,0.97,0.20,0.14,-0.04,-0.10,0.01,0.03,0.00,976.23
0.18,-0.12,0.97,0.20,-0.09,-0.07,-0.04,0.01,0.03,0.00,976.23
0.188,-0.12,0.97,0.20,-0.09,-0.07,-0.04,0.01,0.03,0.00,976.24
0.192,-0.11,0.98,0.19,-0.09,-0.07,-0.04,0.01,0.03,0.00,976.24
0.219,-0.10,0.97,0.18,-0.09,-0.07,-0.04,0.01,0.03,0.00,976.24
0.22,-0.10,0.97,0.18,-0.09,-0.07,-0.04,0.02,0.01,0.03,976.24
0.221,-0.10,0.97,0.18,-0.10,-0.07,-0.03,0.02,0.01,0.03,976.24
0.231,-0.08,0.98,0.17,-0.10,-0.07,-0.03,0.02,0.01,0.03,976.24
0.256,-0.08,0.98,0.17,-0.10,-0.07,-0.03,0.02,0.01,0.03,976.24
0.257,-0.06,0.99,0.16,-0.10,-0.07,-0.03,0.02,0.01,0.03,976.24
0.258,-0.06,0.99,0.16,-0.10,-0.07,-0.03,0.01,0.02,0.04,976.24
