time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,0.37,0.91,-0.06,-0.17,-0.10,0.15,0.01,0.05,-0.07,1012.87
0.003,0.37,0.91,-0.06,-0.17,-0.10,0.15,0.05,-0.06,-0.03,1012.87
0.004,0.37,0.91,-0.06,-0.14,0.01,-0.23,0.05,-0.06,-0.03,1012.87
0.038,0.40,0.92,-0.05,-0.14,0.01,-0.23,0.05,-0.06,-0.03,1012.87
0.039,0.40,0.92,-0.05,-0.14,0.01,-0.23,0.00,-0.05,-0.04,1012.87
0.04,0.40,0.92,-0.05,0.18,0.08,-0.07,0.00,-0.05,-0.04,1012.87
0.043,0.40,0.92,-0.05,0.18,0.08,-0.07,0.00,-0.05,-0.04,1012.87
0.076,0.36,0.91,-0.05,0.18,0.08,-0.07,0.00,-0.05,-0.04,1012.87
0.077,0.36,0.91,-0.05,0.18,0.08,-0.07,0.00,0.00,-0.06,1012.87
0.078,0.36,0.91,-0.05,-0.21,-0.03,-0.05,0.00,0.00,-0.06,1012.87
0.115,0.36,0.91,-0.05,-0.21,-0.03,-0.05,0.00,0.00,-0.06,1012.85
0.117,0.37,0.91,-0.05,-0.21,-0.03,-0.05,0.00,0.00,-0.06,1012.85
0.118,0.37,0.91,-0.05,-0.21,-0.03,-0.05,-0.00,-0.03,-0.04,1012.85
0.12,0.37,0.91,-0.05,-0.10,-0.04,-0.05,-0.00,-0.03,-0.04,1012.85
0.159,0.37,0.92,-0.04,-0.10,-0.04,-0.05,-0.00,-0.03,-0.04,1012.85
0.161,0.37,0.92,-0.04,-0.10,-0.04,-0.05,-0.01,-0.03,-0.03,1012.85
0.161,0.37,0.92,-0.04,-0.08,0.04,-0.03,-0.01,-0.03,-0.03,1012.85
0.166,0.37,0.92,-0.04,-0.08,0.04,-0.03,-0.01,-0.03,-0.03,1012.85
0.196,0.39,0.91,-0.04,-0.08,0.04,-0.03,-0.01,-0.03,-0.03,1012.85
0.199,0.39,0.91,-0.04,-0.08,0.04,-0.03,-0.00,-0.04,-0.03,1012.85
0.201,0.39,0.91,-0.04,0.14,-0.07,0.03,-0.00,-0.04,-0.03,1012.85
0.225,0.39,0.91,-0.04,0.14,-0.07,0.03,-0.00,-0.04,-0.03,1012.84
0.235,0.37,0.92,-0.04,0.14,-0.07,0.03,-0.00,-0.04,-0.03,1012.84
0.236,0.37,0.92,-0.04,0.14,-0.07,0.03,-0.00,-0.03,-0.05,1012.84
0.237,0.37,0.92,-0.04,-0.03,0.03,0.02,-0.00,-0.03,-0.05,1012.84
0.285,0.37,0.92,-0.04,0.06,0.06,-0.03,-0.00,-0.03,-0.05,1012.84
0.289,0.38,0.92,-0.05,0.06,0.06,-0.03,-0.00,-0.03,-0.05,1012.84
0.29,0.38,0.92,-0.05,0.06,0.06,-0.03,0.01,-0.02,-0.06,1012.84
0.291,0.38,0.92,-0.05,0.06,0.06,-0.03,0.01,-0.02,-0.06,1012.84
0.319,0.36,0.90,-0.05,0.06,0.06,-0.03,0.01,-0.02,-0.06,1012.84
0.321,0.36,0.90,-0.05,0.06,0.06,-0.03,0.02,-0.00,-0.07,1012.84
0.322,0.36,0.90,-0.05,-0.08,-0.14,-0.04,0.02,-0.00,-0.07,1012.84
0.345,0.36,0.90,-0.05,-0.08,-0.14,-0.04,0.02,-0.00,-0.07,1012.84
0.354,0.39,0.93,-0.04,-0.08,-0.14,-0.04,0.02,-0.00,-0.07,1012.84
0.356,0.39,0.93,-0.04,0.20,0.07,0.01,0.02,-0.00,-0.07,1012.84
0.358,0.39,0.93,-0.04,0.20,0.07,0.01,0.01,-0.01,-0.07,1012.84
0.394,0.41,0.94,-0.02,0.20,0.07,0.01,0.01,-0.01,-0.07,1012.84
0.395,0.41,0.94,-0.02,0.20,0.07,0.01,0.02,-0.02,-0.10,1012.84
0.395,0.41,0.94,-0.02,0.42,0.21,0.28,0.02,-0.02,-0.10,1012.84
0.403,0.41,0.94,-0.02,0.42,0.21,0.28,0.02,-0.02,-0.10,1012.84
0.436,0.41,0.94,-0.02,0.59,-0.04,0.86,0.02,-0.02,-0.10,1012.84
0.441,0.42,0.92,0.04,0.59,-0.04,0.86,0.02,-0.02,-0.10,1012.84
0.442,0.42,0.92,0.04,0.59,-0.04,0.86,0.08,0.03,-0.18,1012.84
0.463,0.42,0.92,0.04,0.59,-0.04,0.86,0.08,0.03,-0.18,1012.84
0.473,0.34,0.93,-0.07,0.59,-0.04,0.86,0.08,0.03,-0.18,1012.84
0.476,0.34,0.93,-0.07,0.59,-0.04,0.86,0.16,0.10,-0.25,1012.84
0.478,0.34,0.93,-0.07,-0.13,0.02,-0.15,0.16,0.10,-0.25,1012.84
0.518,0.32,0.89,-0.08,-0.13,0.02,-0.15,0.16,0.10,-0.25,1012.84
0.52,0.32,0.89,-0.08,-0.13,0.02,-0.15,0.18,0.17,-0.27,1012.84
0.522,0.32,0.89,-0.08,-0.17,-0.43,-0.27,0.18,0.17,-0.27,1012.84
0.563,0.32,0.89,-0.08,-0.17,-0.43,-0.27,0.18,0.17,-0.27,1012.83
0.564,0.42,0.92,-0.09,-0.17,-0.43,-0.27,0.18,0.17,-0.27,1012.83
0.564,0.42,0.92,-0.09,-0.17,-0.43,-0.27,0.13,-0.05,-0.26,1012.83
0.565,0.42,0.92,-0.09,0.85,-0.16,-0.32,0.13,-0.05,-0.26,1012.83
0.584,0.42,0.92,-0.09,0.85,-0.16,-0.32,0.13,-0.05,-0.26,1012.84
0.592,0.40,0.89,-0.04,0.85,-0.16,-0.32,0.13,-0.05,-0.26,1012.84
0.594,0.40,0.89,-0.04,0.85,-0.16,-0.32,0.09,-0.01,-0.38,1012.84
0.595,0.40,0.89,-0.04,0.76,-0.42,0.24,0.09,-0.01,-0.38,1012.84
0.636,0.24,0.94,-0.01,0.76,-0.42,0.24,0.09,-0.01,-0.38,1012.84
0.637,0.24,0.94,-0.01,0.76,-0.42,0.24,0.12,0.12,-0.46,1012.84
0.637,0.24,0.94,-0.01,-0.64,0.01,0.54,0.12,0.12,-0.46,1012.84
0.645,0.24,0.94,-0.01,-0.64,0.01,0.54,0.12,0.12,-0.46,1012.84
0.671,0.17,0.98,-0.06,-0.64,0.01,0.54,0.12,0.12,-0.46,1012.84
