time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.005,0.06,1.01,0.05,-0.07,-0.03,0.26,0.03,-0.01,0.02,1012.86
0.013,0.06,1.01,0.05,-0.07,-0.03,0.26,0.03,-0.01,0.02,1012.86
0.026,0.01,0.97,0.07,-0.07,-0.03,0.26,0.03,-0.01,0.02,1012.86
0.027,0.01,0.97,0.07,-0.07,-0.03,0.26,0.05,-0.06,-0.02,1012.86
0.028,0.01,0.97,0.07,-0.10,-0.05,0.07,0.05,-0.06,-0.02,1012.86
0.04,0.00,1.00,0.05,-0.10,-0.05,0.07,0.05,-0.06,-0.02,1012.86
0.059,0.09,0.99,0.05,-0.10,-0.05,0.07,0.05,-0.06,-0.02,1012.86
0.06,0.09,0.99,0.05,-0.10,-0.05,0.07,0.05,-0.11,0.06,1012.86
0.06,0.09,0.99,0.05,-0.11,-0.04,0.08,0.05,-0.11,0.06,1012.86
0.072,0.09,0.99,0.05,-0.11,-0.04,0.08,0.05,-0.11,0.06,1012.87
0.079,0.09,0.99,0.06,-0.11,-0.04,0.08,0.05,-0.11,0.06,1012.87
0.099,0.10,0.99,0.05,-0.11,-0.04,0.08,0.05,-0.11,0.06,1012.87
0.1,0.10,0.99,0.05,-0.11,-0.04,0.08,0.05,-0.22,0.07,1012.87
0.101,0.10,0.99,0.05,-0.04,0.01,0.03,0.05,-0.22,0.07,1012.87
0.122,0.10,1.00,0.04,-0.04,0.01,0.03,0.05,-0.22,0.07,1012.87
0.132,0.10,1.00,0.04,-0.04,0.01,0.03,0.05,-0.22,0.07,1012.87
0.14,0.07,1.01,0.04,-0.04,0.01,0.03,0.05,-0.22,0.07,1012.87
0.141,0.07,1.01,0.04,-0.04,0.01,0.03,0.06,-0.11,0.00,1012.87
0.142,0.07,1.01,0.04,0.24,0.05,-0.05,0.06,-0.11,0.00,1012.87
0.158,0.06,1.01,0.04,0.24,0.05,-0.05,0.06,-0.11,0.00,1012.87
0.178,0.06,1.00,0.04,0.24,0.05,-0.05,0.06,-0.11,0.00,1012.87
