time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.03,0.99,-0.11,-0.04,-0.03,0.18,0.02,-0.07,-0.01,1012.87
0.004,-0.03,0.99,-0.11,-0.04,-0.03,0.18,0.03,-0.11,0.00,1012.87
0.005,-0.03,0.99,-0.11,-0.04,-0.03,0.18,0.03,-0.11,0.00,1012.87
0.005,-0.03,0.99,-0.11,-0.04,-0.03,0.18,0.03,-0.11,0.00,1012.88
0.005,-0.04,0.99,-0.06,-0.04,-0.03,0.18,0.03,-0.11,0.00,1012.88
0.023,-0.06,0.98,-0.05,-0.04,-0.03,0.18,0.03,-0.11,0.00,1012.88
0.024,-0.06,0.98,-0.05,-0.04,-0.03,0.18,-0.04,0.01,-0.03,1012.88
0.025,-0.06,0.98,-0.05,0.21,-0.05,-0.16,-0.04,0.01,-0.03,1012.88
0.042,-0.15,1.03,-0.08,0.21,-0.05,-0.16,-0.04,0.01,-0.03,1012.88
0.052,-0.15,1.03,-0.08,0.21,-0.05,-0.16,-0.04,0.01,-0.03,1012.87
0.062,-0.08,0.99,-0.07,0.21,-0.05,-0.16,-0.04,0.01,-0.03,1012.87
0.063,-0.08,0.99,-0.07,0.21,-0.05,-0.16,-0.02,0.04,-0.11,1012.87
0.063,-0.08,0.99,-0.07,-0.13,-0.04,0.03,-0.02,0.04,-0.11,1012.87
0.082,-0.09,1.00,-0.08,-0.13,-0.04,0.03,-0.02,0.04,-0.11,1012.87
0.102,-0.09,1.02,-0.08,-0.13,-0.04,0.03,-0.02,0.04,-0.11,1012.87
0.103,-0.09,1.02,-0.08,-0.13,-0.04,0.03,-0.00,0.02,-0.04,1012.87
0.104,-0.09,1.02,-0.08,-0.11,-0.04,0.03,-0.00,0.02,-0.04,1012.87
0.113,-0.09,1.02,-0.08,-0.11,-0.04,0.03,-0.00,0.02,-0.04,1012.86
0.121,-0.10,0.99,-0.06,-0.11,-0.04,0.03,-0.00,0.02,-0.04,1012.86
0.144,-0.11,1.00,-0.08,-0.11,-0.04,0.03,-0.00,0.02,-0.04,1012.86
0.146,-0.11,1.00,-0.08,-0.11,-0.04,0.03,-0.01,0.02,-0.01,1012.86
0.148,-0.11,1.00,-0.08,-0.05,-0.02,-0.03,-0.01,0.02,-0.01,1012.86
0.163,-0.08,1.00,-0.08,-0.05,-0.02,-0.03,-0.01,0.02,-0.01,1012.86
0.21,-0.08,1.00,-0.08,-0.05,-0.02,-0.03,-0.01,0.02,-0.01,1012.85
0.215,-0.08,1.00,-0.08,-0.05,-0.02,-0.03,-0.01,0.02,-0.01,1012.85
0.217,-0.08,1.00,-0.08,-0.05,-0.02,-0.03,-0.00,-0.00,-0.01,1012.85
0.219,-0.08,1.00,-0.08,-0.03,-0.05,-0.04,-0.00,-0.00,-0.01,1012.85
0.221,-0.09,1.00,-0.07,-0.03,-0.05,-0.04,-0.00,-0.00,-0.01,1012.85
0.249,-0.09,1.00,-0.08,-0.03,-0.05,-0.04,-0.00,-0.00,-0.01,1012.85
0.253,-0.09,1.00,-0.08,-0.03,-0.05,-0.04,-0.00,-0.00,-0.01,1012.85
0.255,-0.09,1.00,-0.08,-0.03,-0.05,-0.05,-0.00,-0.00,-0.01,1012.85
0.262,-0.09,1.00,-0.08,-0.03,-0.05,-0.05,-0.00,-0.00,-0.01,1012.85
0.265,-0.09,1.00,-0.07,-0.03,-0.05,-0.05,-0.00,-0.00,-0.01,1012.85
0.266,-0.09,1.01,-0.08,-0.03,-0.05,-0.05,-0.00,-0.00,-0.01,1012.85
