time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.004,-0.10,0.99,-0.02,0.25,0.02,0.01,-0.01,-0.01,0.00,976.74
0.005,-0.10,0.99,-0.02,0.25,0.02,0.01,-0.01,-0.01,0.00,976.74
0.006,-0.14,1.00,-0.02,0.25,0.02,0.01,-0.01,-0.01,0.00,976.74
0.006,-0.14,1.00,-0.02,0.25,0.02,0.01,-0.01,0.12,-0.02,976.74
0.007,-0.14,1.00,-0.02,0.25,0.02,0.01,-0.01,0.12,-0.02,976.74
0.014,-0.08,1.01,-0.03,0.25,0.02,0.01,-0.01,0.12,-0.02,976.74
0.034,-0.07,0.99,-0.03,0.25,0.02,0.01,-0.01,0.12,-0.02,976.74
0.035,-0.07,0.99,-0.03,0.25,0.02,0.01,0.00,-0.04,0.00,976.74
0.035,-0.07,0.99,-0.03,-0.18,0.01,-0.01,0.00,-0.04,0.00,976.74
0.054,-0.08,1.01,-0.04,-0.18,0.01,-0.01,0.00,-0.04,0.00,976.74
0.061,-0.08,1.01,-0.04,-0.18,0.01,-0.01,0.00,-0.04,0.00,976.74
0.074,-0.07,1.00,-0.03,-0.18,0.01,-0.01,0.00,-0.04,0.00,976.74
0.074,-0.07,1.00,-0.03,-0.18,0.01,-0.01,0.00,-0.06,0.01,976.74
0.075,-0.07,1.00,-0.03,0.11,0.01,-0.07,0.00,-0.06,0.01,976.74
0.094,-0.08,1.00,-0.02,0.11,0.01,-0.07,0.00,-0.06,0.01,976.74
0.114,-0.11,0.99,-0.02,0.11,0.01,-0.07,0.00,-0.06,0.01,976.74
0.115,-0.11,0.99,-0.02,0.11,0.01,-0.07,-0.01,0.04,0.00,976.74
0.116,-0.11,0.99,-0.02,0.10,0.01,-0.07,-0.01,0.04,0.00,976.74
0.123,-0.11,0.99,-0.02,0.10,0.01,-0.07,-0.01,0.04,0.00,976.73
0.135,-0.07,0.99,-0.03,0.10,0.01,-0.07,-0.01,0.04,0.00,976.73
0.153,-0.07,1.00,-0.03,0.10,0.01,-0.07,-0.01,0.04,0.00,976.73
0.154,-0.07,1.00,-0.03,0.10,0.01,-0.07,-0.00,-0.02,0.00,976.73
0.154,-0.07,1.00,-0.03,-0.04,-0.05,-0.01,-0.00,-0.02,0.00,976.73
0.173,-0.07,1.00,-0.03,-0.04,-0.05,-0.01,-0.00,-0.02,0.00,976.73
0.181,-0.07,1.00,-0.03,-0.04,-0.05,-0.01,-0.00,-0.02,0.00,976.73
0.193,-0.06,1.01,-0.02,-0.04,-0.05,-0.01,-0.00,-0.02,0.00,976.73
0.194,-0.06,1.01,-0.02,-0.04,-0.05,-0.01,-0.00,-0.03,-0.01,976.73
0.194,-0.06,1.01,-0.02,0.18,0.03,-0.00,-0.00,-0.03,-0.01,976.73
0.221,-0.09,1.00,-0.02,0.18,0.03,-0.00,-0.00,-0.03,-0.01,976.73
0.234,-0.11,0.99,-0.03,0.18,0.03,-0.00,-0.00,-0.03,-0.01,976.73
0.236,-0.11,0.99,-0.03,0.18,0.03,-0.00,-0.00,0.07,-0.03,976.73
0.237,-0.11,0.99,-0.03,0.19,0.03,-0.00,-0.00,0.07,-0.03,976.73
0.258,-0.11,0.99,-0.03,0.19,0.03,-0.00,-0.00,0.07,-0.03,976.74
0.259,-0.11,1.00,-0.02,0.19,0.03,-0.00,-0.00,0.07,-0.03,976.74
0.272,-0.09,1.01,-0.03,0.19,0.03,-0.00,-0.00,0.07,-0.03,976.74
0.273,-0.09,1.01,-0.03,0.19,0.03,-0.00,0.00,0.02,-0.02,976.74
0.276,-0.09,1.01,-0.03,-0.18,-0.02,-0.02,0.00,0.02,-0.02,976.74
0.292,-0.07,1.00,-0.03,-0.18,-0.02,-0.02,0.00,0.02,-0.02,976.74
0.302,-0.07,1.00,-0.03,-0.18,-0.02,-0.02,0.00,0.02,-0.02,976.75
0.322,-0.07,1.00,-0.02,-0.18,-0.02,-0.02,0.00,0.02,-0.02,976.75
0.324,-0.07,1.00,-0.02,-0.18,-0.02,-0.02,0.01,-0.05,0.00,976.75
0.325,-0.07,1.00,-0.02,0.12,0.01,-0.05,0.01,-0.05,0.00,976.75
0.331,-0.08,1.01,-0.03,0.12,0.01,-0.05,0.01,-0.05,0.00,976.75
0.352,-0.09,1.00,-0.04,0.12,0.01,-0.05,0.01,-0.05,0.00,976.75
0.355,-0.09,1.00,-0.04,0.12,0.01,-0.05,0.00,0.02,-0.02,976.75
0.357,-0.09,1.00,-0.04,0.12,0.01,-0.04,0.00,0.02,-0.02,976.75
0.381,-0.09,1.00,-0.04,0.12,0.01,-0.04,0.00,0.02,-0.02,976.74
0.382,-0.10,0.99,-0.03,0.12,0.01,-0.04,0.00,0.02,-0.02,976.74
0.394,-0.09,1.00,-0.02,0.12,0.01,-0.04,0.00,0.02,-0.02,976.74
0.395,-0.09,1.00,-0.02,0.12,0.01,-0.04,0.00,0.02,-0.02,976.74
0.396,-0.09,1.00,-0.02,-0.00,0.02,-0.06,0.00,0.02,-0.02,976.74
0.421,-0.08,1.01,-0.02,-0.00,0.02,-0.06,0.00,0.02,-0.02,976.74
0.424,-0.08,1.01,-0.02,-0.00,0.02,-0.06,0.00,0.02,-0.02,976.71
0.454,-0.11,0.99,-0.03,-0.00,0.02,-0.06,0.00,0.02,-0.02,976.71
0.455,-0.11,0.99,-0.03,-0.00,0.02,-0.06,0.01,0.02,-0.02,976.71
0.456,-0.11,0.99,-0.03,-0.02,-0.03,-0.01,0.01,0.02,-0.02,976.71
0.457,-0.13,0.99,-0.02,-0.02,-0.03,-0.01,0.01,0.02,-0.02,976.71
